sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
0.951;0.353;10.64;0.351;-0.8718;1.381;-1.2766;-0.3191;-1.4554;7.5;2.5;-1.7;10;2020-06-18 17:26:18:293
0.951;0.353;10.64;0.351;-0.8718;1.381;-1.2766;-0.3191;-1.4554;7.5;2.5;-1.7;20;2020-06-18 17:26:18:303
0.951;0.353;10.64;0.6331;-0.1098;0.8451;-0.8438;-0.407;-1.4532;7.3;3.0;-0.7;30;2020-06-18 17:26:18:313
1.392;0.558;10.748;0.6331;-0.1098;0.8451;-0.8438;-0.407;-1.4532;7.3;3.0;-0.7;40;2020-06-18 17:26:18:323
1.392;0.558;10.748;0.6331;-0.1098;0.8451;-0.8438;-0.407;-1.4532;7.3;3.0;-0.7;50;2020-06-18 17:26:18:333
1.392;0.558;10.748;1.1426;0.2331;1.3735;-0.4368;-0.6517;-1.4351;7.1;3.3;0.0;60;2020-06-18 17:26:18:343
1.392;0.558;10.748;1.1426;0.2331;1.3735;-0.4368;-0.6517;-1.4351;7.1;3.3;0.0;70;2020-06-18 17:26:18:353
1.99;0.784;11.434;1.1426;0.2331;1.3735;-0.4368;-0.6517;-1.4351;7.1;3.3;0.0;80;2020-06-18 17:26:18:363
1.99;0.784;11.434;0.8311;-0.0284;2.4018;-0.2209;-0.7583;-1.1607;7.0;3.6;0.9;90;2020-06-18 17:26:18:373
1.99;0.784;11.434;0.8311;-0.0284;2.4018;-0.2209;-0.7583;-1.1607;7.0;3.6;0.9;100;2020-06-18 17:26:18:383
1.206;0.127;12.523;0.8311;-0.0284;2.4018;-0.2209;-0.7583;-1.1607;7.0;3.6;0.9;110;2020-06-18 17:26:18:393
1.206;0.127;12.523;0.8311;-0.0284;2.4018;-0.2209;-0.7583;-1.1607;7.0;3.6;0.9;120;2020-06-18 17:26:18:403
1.206;0.127;12.523;-0.0834;-0.2942;2.6021;-0.3193;-0.2444;-0.5526;7.0;3.9;2.2;130;2020-06-18 17:26:18:413
0.892;0.039;12.337;-0.0834;-0.2942;2.6021;-0.3193;-0.2444;-0.5526;7.0;3.9;2.2;140;2020-06-18 17:26:18:423
0.892;0.039;12.337;-0.0834;-0.2942;2.6021;-0.3193;-0.2444;-0.5526;7.0;3.9;2.2;150;2020-06-18 17:26:18:433
0.892;0.039;12.337;-0.301;-0.3796;2.8468;-0.3614;0.0855;-0.3703;7.0;4.2;3.1;160;2020-06-18 17:26:18:443
0.549;-0.147;12.719;-0.301;-0.3796;2.8468;-0.3614;0.0855;-0.3703;7.0;4.2;3.1;170;2020-06-18 17:26:18:453
0.549;-0.147;12.719;-0.301;-0.3796;2.8468;-0.3614;0.0855;-0.3703;7.0;4.2;3.1;180;2020-06-18 17:26:18:463
0.549;-0.147;12.719;-0.4611;-0.4346;3.1957;-0.3614;0.0855;-0.3703;7.0;4.2;3.1;190;2020-06-18 17:26:18:473
0.323;-0.284;12.994;-0.4611;-0.4346;3.1957;-0.3398;0.407;0.3486;7.21;4.5;4.22;200;2020-06-18 17:26:18:483
0.323;-0.284;12.994;-0.4611;-0.4346;3.1957;-0.3398;0.407;0.3486;7.21;4.5;4.22;210;2020-06-18 17:26:18:493
0.323;-0.284;12.994;-0.4611;-0.4346;3.1957;-0.3398;0.407;0.3486;7.21;4.5;4.22;220;2020-06-18 17:26:18:503
0.039;-0.431;12.807;-0.5964;-0.4525;3.0217;-0.3523;0.5099;0.3112;7.4;4.6;5.0;231;2020-06-18 17:26:18:514
0.039;-0.431;12.807;-0.5964;-0.4525;3.0217;-0.3523;0.5099;0.3112;7.4;4.6;5.0;240;2020-06-18 17:26:18:523
0.039;-0.431;12.807;-0.5964;-0.4525;3.0217;-0.3523;0.5099;0.3112;7.4;4.6;5.0;250;2020-06-18 17:26:18:533
-0.421;-0.48;12.621;-0.8675;-0.398;2.8255;-0.3524;0.6159;-0.0082;7.6;4.8;5.5;260;2020-06-18 17:26:18:543
-0.421;-0.48;12.621;-0.8675;-0.398;2.8255;-0.3524;0.6159;-0.0082;7.6;4.8;5.5;270;2020-06-18 17:26:18:553
-0.421;-0.48;12.621;-0.8675;-0.398;2.8255;-0.3524;0.6159;-0.0082;7.6;4.8;5.5;280;2020-06-18 17:26:18:563
-0.402;-0.353;12.337;-0.6498;-0.1917;2.5352;-0.3524;0.6159;-0.0082;7.6;4.8;5.5;290;2020-06-18 17:26:18:573
-0.402;-0.353;12.337;-0.6498;-0.1917;2.5352;-0.2507;0.6365;-0.3654;8.0;5.1;5.8;300;2020-06-18 17:26:18:583
-0.402;-0.353;12.337;-0.6498;-0.1917;2.5352;-0.2507;0.6365;-0.3654;8.0;5.1;5.8;310;2020-06-18 17:26:18:593
-0.451;-0.137;11.807;-0.5357;0.0554;2.0031;-0.2507;0.6365;-0.3654;8.0;5.1;5.8;320;2020-06-18 17:26:18:603
-0.451;-0.137;11.807;-0.5357;0.0554;2.0031;-0.1001;0.5617;-0.8514;8.2;5.4;5.9;330;2020-06-18 17:26:18:613
-0.451;-0.137;11.807;-0.5357;0.0554;2.0031;-0.1001;0.5617;-0.8514;8.2;5.4;5.9;340;2020-06-18 17:26:18:623
-0.49;0.098;11.268;-0.5357;0.0554;2.0031;-0.1001;0.5617;-0.8514;8.2;5.4;5.9;350;2020-06-18 17:26:18:633
-0.49;0.098;11.268;-0.4238;0.3522;1.3352;-0.1001;0.5617;-0.8514;8.2;5.4;5.9;360;2020-06-18 17:26:18:643
-0.49;0.098;11.268;-0.4238;0.3522;1.3352;0.1353;0.4617;-1.2625;8.2;5.7;5.6;370;2020-06-18 17:26:18:653
-0.558;0.402;11.003;-0.4238;0.3522;1.3352;0.1353;0.4617;-1.2625;8.2;5.7;5.6;380;2020-06-18 17:26:18:663
-0.558;0.402;11.003;-0.304;0.5104;1.2281;0.1353;0.4617;-1.2625;8.2;5.7;5.6;390;2020-06-18 17:26:18:673
-0.558;0.402;11.003;-0.304;0.5104;1.2281;0.1353;0.4617;-1.2625;8.2;5.7;5.6;400;2020-06-18 17:26:18:683
-0.431;0.509;11.023;-0.304;0.5104;1.2281;0.3347;0.321;-1.0729;8.0;6.0;4.9;410;2020-06-18 17:26:18:693
-0.431;0.509;11.023;-0.0964;0.508;1.2106;0.3347;0.321;-1.0729;8.0;6.0;4.9;420;2020-06-18 17:26:18:703
-0.431;0.509;11.023;-0.0964;0.508;1.2106;0.3347;0.321;-1.0729;8.0;6.0;4.9;430;2020-06-18 17:26:18:713
-0.402;0.588;11.14;-0.0964;0.508;1.2106;0.4075;0.1854;-1.2136;7.35;6.14;3.42;440;2020-06-18 17:26:18:723
-0.402;0.588;11.14;-0.1452;0.4115;1.4583;0.4075;0.1854;-1.2136;7.35;6.14;3.42;451;2020-06-18 17:26:18:734
-0.402;0.588;11.14;-0.1452;0.4115;1.4583;0.4075;0.1854;-1.2136;7.35;6.14;3.42;464;2020-06-18 17:26:18:747
-0.402;0.588;11.14;-0.1452;0.4115;1.4583;0.4075;0.1854;-1.2136;7.35;6.14;3.42;470;2020-06-18 17:26:18:753
-0.402;0.588;11.14;-0.1452;0.4115;1.4583;0.4075;0.1854;-1.2136;7.35;6.14;3.42;480;2020-06-18 17:26:18:763
-0.402;0.588;11.14;-0.1452;0.4115;1.4583;0.4075;0.1854;-1.2136;7.35;6.14;3.42;490;2020-06-18 17:26:18:773
-0.558;0.588;11.317;-0.0929;0.4554;0.8266;0.3863;0.1312;-1.15;6.83;6.07;2.56;500;2020-06-18 17:26:18:783
-0.558;0.588;11.317;-0.0929;0.4554;0.8266;0.3863;0.1312;-1.15;6.83;6.07;2.56;515;2020-06-18 17:26:18:798
-0.558;0.588;11.317;-0.0929;0.4554;0.8266;0.3863;0.1312;-1.15;6.83;6.07;2.56;520;2020-06-18 17:26:18:803
-0.333;0.99;9.924;0.0525;0.5779;0.1342;0.4288;0.0413;-0.9883;6.15;5.89;2.01;530;2020-06-18 17:26:18:813
-0.333;0.99;9.924;0.0525;0.5779;0.1342;0.4288;0.0413;-0.9883;6.15;5.89;2.01;540;2020-06-18 17:26:18:823
-0.333;0.99;9.924;0.0525;0.5779;0.1342;0.4288;0.0413;-0.9883;6.15;5.89;2.01;549;2020-06-18 17:26:18:832
-0.343;1.363;8.855;0.038;0.7184;-0.9226;0.4288;0.0413;-0.9883;6.15;5.89;2.01;560;2020-06-18 17:26:18:843
-0.343;1.363;8.855;0.038;0.7184;-0.9226;0.6445;-0.0184;-0.4933;5.4;5.59;0.84;570;2020-06-18 17:26:18:853
-0.343;1.363;8.855;0.038;0.7184;-0.9226;0.6445;-0.0184;-0.4933;5.4;5.59;0.84;580;2020-06-18 17:26:18:863
-0.264;1.5;8.306;0.1197;0.6411;-1.4551;0.6445;-0.0184;-0.4933;5.4;5.59;0.84;590;2020-06-18 17:26:18:873
-0.264;1.5;8.306;0.1197;0.6411;-1.4551;0.732;-0.0091;-0.1748;4.8;5.4;0.3;600;2020-06-18 17:26:18:883
-0.264;1.5;8.306;0.1197;0.6411;-1.4551;0.732;-0.0091;-0.1748;4.8;5.4;0.3;610;2020-06-18 17:26:18:893
-0.558;1.539;8.11;-0.1812;0.4973;-1.6284;0.732;-0.0091;-0.1748;4.8;5.4;0.3;620;2020-06-18 17:26:18:903
-0.558;1.539;8.11;-0.1812;0.4973;-1.6284;0.732;-0.0091;-0.1748;4.8;5.4;0.3;629;2020-06-18 17:26:18:912
-0.558;1.539;8.11;-0.1812;0.4973;-1.6284;0.7285;0.1191;-0.2113;4.1;4.7;-0.5;640;2020-06-18 17:26:18:923
-0.657;1.735;8.071;-0.2986;0.341;-1.6002;0.7285;0.1191;-0.2113;4.1;4.7;-0.5;650;2020-06-18 17:26:18:933
-0.657;1.735;8.071;-0.2986;0.341;-1.6002;0.7285;0.1191;-0.2113;4.1;4.7;-0.5;660;2020-06-18 17:26:18:943
-0.657;1.735;8.071;-0.2986;0.341;-1.6002;0.7285;0.1191;-0.2113;4.1;4.7;-0.5;670;2020-06-18 17:26:18:953
