sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
1.049;0.117;16.24;0.433;-0.2103;6.4632;-0.3882;0.1146;-0.2665;8.48;4.7;5.55;13;2020-06-18 17:34:37:326
1.049;0.117;16.24;0.433;-0.2103;6.4632;-0.3882;0.1146;-0.2665;8.48;4.7;5.55;23;2020-06-18 17:34:37:336
1.049;0.117;16.24;0.6908;0.0508;6.1383;-0.2871;-0.0192;-0.2211;8.44;4.71;5.39;33;2020-06-18 17:34:37:346
1.49;0.529;15.514;0.6908;0.0508;6.1383;-0.2871;-0.0192;-0.2211;8.44;4.71;5.39;43;2020-06-18 17:34:37:356
1.49;0.529;15.514;0.6908;0.0508;6.1383;-0.2871;-0.0192;-0.2211;8.44;4.71;5.39;54;2020-06-18 17:34:37:367
1.49;0.529;15.514;0.6908;0.0508;6.1383;-0.2871;-0.0192;-0.2211;8.44;4.71;5.39;64;2020-06-18 17:34:37:377
2.02;0.804;13.572;1.3404;0.5281;3.7932;-0.0326;-0.3644;-0.6716;7.7;5.05;4.18;74;2020-06-18 17:34:37:387
2.02;0.804;13.572;1.3404;0.5281;3.7932;-0.0326;-0.3644;-0.6716;7.7;5.05;4.18;83;2020-06-18 17:34:37:396
2.02;0.804;13.572;1.3404;0.5281;3.7932;-0.0326;-0.3644;-0.6716;7.7;5.05;4.18;93;2020-06-18 17:34:37:406
1.726;0.676;12.121;0.7103;0.3513;1.7767;0.1136;-0.459;-0.1926;7.94;4.72;4.33;103;2020-06-18 17:34:37:416
1.726;0.676;12.121;0.7103;0.3513;1.7767;0.1136;-0.459;-0.1926;7.94;4.72;4.33;114;2020-06-18 17:34:37:427
1.726;0.676;12.121;0.7103;0.3513;1.7767;0.1136;-0.459;-0.1926;7.94;4.72;4.33;124;2020-06-18 17:34:37:437
1.726;0.676;12.121;0.7103;0.3513;1.7767;0.1136;-0.459;-0.1926;7.94;4.72;4.33;134;2020-06-18 17:34:37:447
