sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
1.117;1.01;19.466;0.6573;0.6122;9.6094;-0.1219;0.1806;-3.3842;4.83;3.78;3.6;7;2020-06-18 17:37:01:336
1.117;1.01;19.466;0.7621;0.2184;9.5316;-0.0674;-0.1757;-2.1329;5.2;4.69;3.61;17;2020-06-18 17:37:01:346
1.078;0.46;18.79;0.7621;0.2184;9.5316;-0.0674;-0.1757;-2.1329;5.2;4.69;3.61;27;2020-06-18 17:37:01:356
1.078;0.46;18.79;0.7621;0.2184;9.5316;-0.0674;-0.1757;-2.1329;5.2;4.69;3.61;37;2020-06-18 17:37:01:366
1.078;0.46;18.79;0.652;-0.1913;8.2479;-0.1549;-0.1964;-1.599;5.45;4.84;3.89;48;2020-06-18 17:37:01:377
1.078;0.46;18.79;0.652;-0.1913;8.2479;-0.1549;-0.1964;-1.599;5.45;4.84;3.89;58;2020-06-18 17:37:01:387
1.078;0.46;18.79;0.652;-0.1913;8.2479;-0.1549;-0.1964;-1.599;5.45;4.84;3.89;68;2020-06-18 17:37:01:397
0.774;-0.147;15.906;0.3359;-0.5331;6.1171;-0.2027;-0.1829;-1.2255;5.41;4.76;3.43;78;2020-06-18 17:37:01:407
0.774;-0.147;15.906;0.3359;-0.5331;6.1171;-0.2027;-0.1829;-1.2255;5.41;4.76;3.43;87;2020-06-18 17:37:01:416
0.774;-0.147;15.906;0.3359;-0.5331;6.1171;-0.2027;-0.1829;-1.2255;5.41;4.76;3.43;97;2020-06-18 17:37:01:426
0.176;-0.402;11.072;-0.2439;-0.6285;1.2774;-0.2027;-0.1829;-1.2255;5.41;4.76;3.43;107;2020-06-18 17:37:01:436
0.176;-0.402;11.072;-0.2439;-0.6285;1.2774;-0.379;0.0735;0.094;5.0;4.8;3.3;117;2020-06-18 17:37:01:446
0.176;-0.402;11.072;-0.2439;-0.6285;1.2774;-0.379;0.0735;0.094;5.0;4.8;3.3;128;2020-06-18 17:37:01:457
0.176;-0.402;11.072;-0.2439;-0.6285;1.2774;-0.379;0.0735;0.094;5.0;4.8;3.3;138;2020-06-18 17:37:01:467
-0.215;-0.156;6.806;-0.5307;-0.2136;-2.9949;-0.379;0.0735;0.094;5.0;4.8;3.3;149;2020-06-18 17:37:01:478
-0.215;-0.156;6.806;-0.5307;-0.2136;-2.9949;-0.235;0.2302;1.3648;5.03;4.49;2.16;157;2020-06-18 17:37:01:486
-0.215;-0.156;6.806;-0.5307;-0.2136;-2.9949;-0.235;0.2302;1.3648;5.03;4.49;2.16;168;2020-06-18 17:37:01:497
-0.176;0.0;5.187;-0.4991;-0.1529;-3.5563;-0.235;0.2302;1.3648;5.03;4.49;2.16;177;2020-06-18 17:37:01:506
-0.176;0.0;5.187;-0.4991;-0.1529;-3.5563;-0.235;0.2302;1.3648;5.03;4.49;2.16;188;2020-06-18 17:37:01:517
-0.176;0.0;5.187;-0.4991;-0.1529;-3.5563;-0.1134;0.3001;2.3669;5.44;2.95;-0.11;198;2020-06-18 17:37:01:527
-0.411;-0.019;3.658;-0.5016;0.0369;-5.7454;-0.1134;0.3001;2.3669;5.44;2.95;-0.11;207;2020-06-18 17:37:01:536
-0.411;-0.019;3.658;-0.5016;0.0369;-5.7454;-0.1134;0.3001;2.3669;5.44;2.95;-0.11;217;2020-06-18 17:37:01:546
-0.411;-0.019;3.658;-0.5016;0.0369;-5.7454;-0.0509;0.3896;3.2213;5.58;2.3;-1.32;227;2020-06-18 17:37:01:556
-0.558;0.117;3.422;-0.5016;0.0369;-5.7454;-0.0509;0.3896;3.2213;5.58;2.3;-1.32;238;2020-06-18 17:37:01:567
-0.558;0.117;3.422;-0.4428;0.1266;-6.3843;-0.0509;0.3896;3.2213;5.58;2.3;-1.32;248;2020-06-18 17:37:01:577
-0.558;0.117;3.422;-0.4428;0.1266;-6.3843;-0.0082;0.5737;3.4227;5.67;1.99;-4.72;258;2020-06-18 17:37:01:587
-0.431;0.353;3.746;-0.4428;0.1266;-6.3843;-0.0082;0.5737;3.4227;5.67;1.99;-4.72;268;2020-06-18 17:37:01:597
-0.431;0.353;3.746;-0.1109;0.3773;-5.9596;-0.0082;0.5737;3.4227;5.67;1.99;-4.72;278;2020-06-18 17:37:01:607
-0.431;0.353;3.746;-0.1109;0.3773;-5.9596;-0.0082;0.5737;3.4227;5.67;1.99;-4.72;287;2020-06-18 17:37:01:616
-0.186;0.578;4.02;-0.1109;0.3773;-5.9596;0.3384;0.564;2.5021;5.61;1.72;-2.98;297;2020-06-18 17:37:01:626
-0.186;0.578;4.02;0.1935;0.3595;-5.7764;0.3384;0.564;2.5021;5.61;1.72;-2.98;307;2020-06-18 17:37:01:636
-0.186;0.578;4.02;0.1935;0.3595;-5.7764;0.3384;0.564;2.5021;5.61;1.72;-2.98;317;2020-06-18 17:37:01:646
-0.225;0.666;4.109;0.1935;0.3595;-5.7764;0.7399;0.357;1.3516;6.17;1.72;-3.1;327;2020-06-18 17:37:01:656
-0.225;0.666;4.109;0.2159;0.229;-5.7148;0.7399;0.357;1.3516;6.17;1.72;-3.1;340;2020-06-18 17:37:01:669
-0.225;0.666;4.109;0.2159;0.229;-5.7148;0.7399;0.357;1.3516;6.17;1.72;-3.1;347;2020-06-18 17:37:01:676
0.009;0.686;4.903;0.2159;0.229;-5.7148;0.8301;0.2635;0.8391;5.66;2.13;-3.06;358;2020-06-18 17:37:01:687
0.009;0.686;4.903;0.4971;-0.0532;-4.8632;0.8301;0.2635;0.8391;5.66;2.13;-3.06;367;2020-06-18 17:37:01:696
0.009;0.686;4.903;0.4971;-0.0532;-4.8632;0.8301;0.2635;0.8391;5.66;2.13;-3.06;377;2020-06-18 17:37:01:706
0.519;1.0;6.462;0.4971;-0.0532;-4.8632;0.8301;0.2635;0.8391;5.66;2.13;-3.06;387;2020-06-18 17:37:01:716
0.519;1.0;6.462;0.7488;-0.0226;-3.2883;0.7663;-0.7076;-1.0172;5.7;1.6;-3.9;397;2020-06-18 17:37:01:726
0.519;1.0;6.462;0.7488;-0.0226;-3.2883;0.7663;-0.7076;-1.0172;5.7;1.6;-3.9;407;2020-06-18 17:37:01:736
1.049;1.019;7.796;0.7488;-0.0226;-3.2883;0.7663;-0.7076;-1.0172;5.7;1.6;-3.9;417;2020-06-18 17:37:01:746
