sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-1.039;0.254;9.954;-2.5818;-1.758;1.6529;-2.6055;2.1436;-5.2892;-16.8;13.1;-34.7;5;2020-06-19 13:05:41:816
-1.039;0.254;9.954;-2.5818;-1.758;1.6529;-2.6055;2.1436;-5.2892;-16.8;13.1;-34.7;14;2020-06-19 13:05:41:825
-3.246;-1.117;16.191;-2.9065;-1.796;5.6135;-2.6994;2.4414;-5.1037;-16.73;14.69;-33.52;25;2020-06-19 13:05:41:836
-3.246;-1.117;16.191;-2.9065;-1.796;5.6135;-2.6994;2.4414;-5.1037;-16.73;14.69;-33.52;35;2020-06-19 13:05:41:846
-3.246;-1.117;16.191;-2.9065;-1.796;5.6135;-2.6994;2.4414;-5.1037;-16.73;14.69;-33.52;45;2020-06-19 13:05:41:856
-3.432;-1.216;16.161;-2.6709;-1.5216;6.3888;-2.6994;2.4414;-5.1037;-16.73;14.69;-33.52;56;2020-06-19 13:05:41:867
-3.432;-1.216;16.161;-2.6709;-1.5216;6.3888;-1.8482;2.2371;-2.7867;-16.28;18.65;-30.6;65;2020-06-19 13:05:41:876
-3.432;-1.216;16.161;-2.6709;-1.5216;6.3888;-1.8482;2.2371;-2.7867;-16.28;18.65;-30.6;75;2020-06-19 13:05:41:886
-2.873;-0.853;16.073;-1.6481;-0.7955;6.3439;-1.8482;2.2371;-2.7867;-16.28;18.65;-30.6;85;2020-06-19 13:05:41:896
-2.873;-0.853;16.073;-1.6481;-0.7955;6.3439;-1.1477;1.4363;-1.0496;-16.92;20.12;-30.1;95;2020-06-19 13:05:41:906
-2.873;-0.853;16.073;-1.6481;-0.7955;6.3439;-1.1477;1.4363;-1.0496;-16.92;20.12;-30.1;105;2020-06-19 13:05:41:916
