sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-0.823;1.598;14.592;-0.5737;0.1144;6.018;-0.4823;0.6912;-0.6087;-15.7;13.6;-32.8;6;2020-06-19 13:10:06:015
-0.735;1.422;15.955;-0.5737;0.1144;6.018;-0.4763;0.4846;-0.1688;-15.6;14.3;-32.3;15;2020-06-19 13:10:06:024
-0.735;1.422;15.955;-0.5737;0.1144;6.018;-0.4763;0.4846;-0.1688;-15.6;14.3;-32.3;25;2020-06-19 13:10:06:034
-0.735;1.422;15.955;-0.2684;0.2376;6.0133;-0.4763;0.4846;-0.1688;-15.6;14.3;-32.3;36;2020-06-19 13:10:06:045
-0.509;1.471;15.318;-0.2684;0.2376;6.0133;-0.4763;0.4846;-0.1688;-15.6;14.3;-32.3;45;2020-06-19 13:10:06:054
-0.509;1.471;15.318;-0.2684;0.2376;6.0133;-0.3839;0.2596;0.1875;-15.6;14.9;-31.9;55;2020-06-19 13:10:06:064
-0.196;1.627;13.69;0.0596;0.466;4.4846;-0.3839;0.2596;0.1875;-15.6;14.9;-31.9;65;2020-06-19 13:10:06:074
-0.196;1.627;13.69;0.0596;0.466;4.4846;-0.3839;0.2596;0.1875;-15.6;14.9;-31.9;75;2020-06-19 13:10:06:084
-0.196;1.627;13.69;0.0596;0.466;4.4846;-0.3839;0.2596;0.1875;-15.6;14.9;-31.9;86;2020-06-19 13:10:06:095
0.0;1.843;12.739;0.1817;0.6395;3.5693;-0.1226;0.0058;0.2752;-15.5;15.5;-31.5;96;2020-06-19 13:10:06:105
0.0;1.843;12.739;0.1817;0.6395;3.5693;-0.1226;0.0058;0.2752;-15.5;15.5;-31.5;105;2020-06-19 13:10:06:114
0.0;1.843;12.739;0.1817;0.6395;3.5693;-0.1226;0.0058;0.2752;-15.5;15.5;-31.5;116;2020-06-19 13:10:06:125
0.0;1.843;12.739;0.1817;0.6395;3.5693;-0.1226;0.0058;0.2752;-15.5;15.5;-31.5;125;2020-06-19 13:10:06:134
0.0;1.99;12.072;0.2442;0.7926;2.525;0.1257;-0.1523;0.1138;-15.6;15.9;-31.3;136;2020-06-19 13:10:06:145
0.0;1.99;12.072;0.2442;0.7926;2.525;0.1257;-0.1523;0.1138;-15.6;15.9;-31.3;145;2020-06-19 13:10:06:154
0.0;1.99;12.072;0.2442;0.7926;2.525;0.1257;-0.1523;0.1138;-15.6;15.9;-31.3;155;2020-06-19 13:10:06:164
-0.019;2.039;11.464;0.1945;0.79;1.9269;0.2905;-0.1792;0.0154;-15.6;16.1;-31.5;165;2020-06-19 13:10:06:174
-0.019;2.039;11.464;0.1945;0.79;1.9269;0.2905;-0.1792;0.0154;-15.6;16.1;-31.5;175;2020-06-19 13:10:06:184
-0.196;1.892;10.915;-0.0523;0.5348;1.2045;0.2905;-0.1792;0.0154;-15.6;16.1;-31.5;185;2020-06-19 13:10:06:194
-0.196;1.892;10.915;-0.0523;0.5348;1.2045;0.3027;-0.125;-0.2637;-15.8;16.1;-31.8;195;2020-06-19 13:10:06:204
-0.196;1.892;10.915;-0.0523;0.5348;1.2045;0.3027;-0.125;-0.2637;-15.8;16.1;-31.8;206;2020-06-19 13:10:06:215
