sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-2.137;2.618;8.679;-1.8173;0.2672;-0.505;-0.1483;1.1981;-3.0549;-19.0;12.1;-34.8;4;2020-06-19 13:13:34:041
-2.314;2.755;8.787;-1.5972;0.4377;-0.8061;0.2888;1.2884;-2.6141;-19.7;11.6;-34.9;14;2020-06-19 13:13:34:051
-2.314;2.755;8.787;-1.5972;0.4377;-0.8061;0.2888;1.2884;-2.6141;-19.7;11.6;-34.9;30;2020-06-19 13:13:34:067
-2.314;2.755;8.787;-1.5972;0.4377;-0.8061;0.2888;1.2884;-2.6141;-19.7;11.6;-34.9;35;2020-06-19 13:13:34:072
-2.235;2.824;9.355;-0.9437;0.314;-0.1027;0.5831;1.1237;-1.8927;-21.64;10.31;-35.45;45;2020-06-19 13:13:34:082
-2.235;2.824;9.355;-0.9437;0.314;-0.1027;0.5831;1.1237;-1.8927;-21.64;10.31;-35.45;55;2020-06-19 13:13:34:092
-2.235;2.824;9.355;-0.9437;0.314;-0.1027;0.5831;1.1237;-1.8927;-21.64;10.31;-35.45;64;2020-06-19 13:13:34:101
-2.206;2.991;9.198;-0.9437;0.314;-0.1027;0.5831;1.1237;-1.8927;-21.64;10.31;-35.45;74;2020-06-19 13:13:34:111
-2.206;2.991;9.198;-0.4388;0.4056;-0.0947;0.5447;0.694;-1.1761;-22.33;9.84;-35.32;84;2020-06-19 13:13:34:121
-2.206;2.991;9.198;-0.4388;0.4056;-0.0947;0.5447;0.694;-1.1761;-22.33;9.84;-35.32;94;2020-06-19 13:13:34:131
-2.343;3.02;8.59;-0.4388;0.4056;-0.0947;0.5447;0.694;-1.1761;-22.33;9.84;-35.32;106;2020-06-19 13:13:34:143
-2.343;3.02;8.59;-0.3976;0.2919;-0.7742;0.5391;0.5264;-0.6727;-23.0;9.4;-35.5;115;2020-06-19 13:13:34:152
-2.343;3.02;8.59;-0.3976;0.2919;-0.7742;0.5391;0.5264;-0.6727;-23.0;9.4;-35.5;124;2020-06-19 13:13:34:161
-2.363;3.118;8.532;-0.3976;0.2919;-0.7742;0.5391;0.5264;-0.6727;-23.0;9.4;-35.5;135;2020-06-19 13:13:34:172
-2.363;3.118;8.532;-0.3976;0.2919;-0.7742;0.5391;0.5264;-0.6727;-23.0;9.4;-35.5;145;2020-06-19 13:13:34:182
-2.363;3.118;8.532;-0.1506;0.2634;-0.4077;0.5457;0.4402;-0.4646;-23.8;9.0;-35.4;154;2020-06-19 13:13:34:191
-2.285;3.079;8.855;-0.1506;0.2634;-0.4077;0.5457;0.4402;-0.4646;-23.8;9.0;-35.4;164;2020-06-19 13:13:34:201
-2.285;3.079;8.855;-0.1506;0.2634;-0.4077;0.5457;0.4402;-0.4646;-23.8;9.0;-35.4;174;2020-06-19 13:13:34:211
-2.285;3.079;8.855;-0.1049;-0.0031;-0.3684;0.4051;0.2897;-0.2664;-24.5;8.7;-35.5;184;2020-06-19 13:13:34:221
-2.265;2.755;8.404;-0.1049;-0.0031;-0.3684;0.4051;0.2897;-0.2664;-24.5;8.7;-35.5;195;2020-06-19 13:13:34:232
-2.265;2.755;8.404;-0.1049;-0.0031;-0.3684;0.4051;0.2897;-0.2664;-24.5;8.7;-35.5;205;2020-06-19 13:13:34:242
-2.265;2.755;8.404;0.0487;-0.3286;-0.6844;0.4051;0.2897;-0.2664;-24.5;8.7;-35.5;214;2020-06-19 13:13:34:251
-2.147;2.402;8.492;0.0487;-0.3286;-0.6844;0.1427;0.1583;-0.2343;-25.1;8.3;-35.6;224;2020-06-19 13:13:34:261
-2.147;2.402;8.492;0.0487;-0.3286;-0.6844;0.1427;0.1583;-0.2343;-25.1;8.3;-35.6;234;2020-06-19 13:13:34:271
-2.147;2.402;8.492;0.0487;-0.3286;-0.6844;0.1427;0.1583;-0.2343;-25.1;8.3;-35.6;246;2020-06-19 13:13:34:283
-2.147;2.402;8.492;0.0487;-0.3286;-0.6844;0.1427;0.1583;-0.2343;-25.1;8.3;-35.6;254;2020-06-19 13:13:34:291
-2.03;1.873;8.639;0.3076;-0.9791;-0.4478;-0.1489;0.018;-0.2145;-25.4;8.1;-35.7;265;2020-06-19 13:13:34:302
-2.03;1.873;8.639;0.3076;-0.9791;-0.4478;-0.1489;0.018;-0.2145;-25.4;8.1;-35.7;274;2020-06-19 13:13:34:311
-2.03;1.873;8.639;0.3076;-0.9791;-0.4478;-0.1489;0.018;-0.2145;-25.4;8.1;-35.7;284;2020-06-19 13:13:34:321
-2.235;1.265;8.777;0.1554;-1.2341;-0.2544;-0.6272;-0.1286;-0.3377;-25.4;8.1;-35.8;295;2020-06-19 13:13:34:332
-2.235;1.265;8.777;0.1554;-1.2341;-0.2544;-0.6272;-0.1286;-0.3377;-25.4;8.1;-35.8;308;2020-06-19 13:13:34:345
-2.137;1.078;8.257;0.1554;-1.2341;-0.2544;-0.6272;-0.1286;-0.3377;-25.4;8.1;-35.8;314;2020-06-19 13:13:34:351
-2.137;1.078;8.257;0.2006;-1.2545;-0.9768;-0.8688;-0.0655;-0.3916;-25.3;8.3;-35.9;324;2020-06-19 13:13:34:361
-2.137;1.078;8.257;0.2006;-1.2545;-0.9768;-0.8688;-0.0655;-0.3916;-25.3;8.3;-35.9;335;2020-06-19 13:13:34:372
-1.853;1.294;7.61;0.2006;-1.2545;-0.9768;-0.8688;-0.0655;-0.3916;-25.3;8.3;-35.9;344;2020-06-19 13:13:34:381
-1.853;1.294;7.61;0.2006;-1.2545;-0.9768;-0.8688;-0.0655;-0.3916;-25.3;8.3;-35.9;354;2020-06-19 13:13:34:391
-1.853;1.294;7.61;0.4165;-0.6456;-1.4869;-0.7581;-0.0185;-0.1446;-24.8;8.5;-35.9;364;2020-06-19 13:13:34:401
-2.098;1.323;8.237;0.4165;-0.6456;-1.4869;-0.7581;-0.0185;-0.1446;-24.8;8.5;-35.9;374;2020-06-19 13:13:34:411
-2.098;1.323;8.237;0.4165;-0.6456;-1.4869;-0.7581;-0.0185;-0.1446;-24.8;8.5;-35.9;385;2020-06-19 13:13:34:422
-1.912;1.186;8.218;0.4415;-0.6749;-1.1175;-0.6814;0.0436;0.1402;-24.3;8.9;-35.9;395;2020-06-19 13:13:34:432
-1.912;1.186;8.218;0.4415;-0.6749;-1.1175;-0.6814;0.0436;0.1402;-24.3;8.9;-35.9;404;2020-06-19 13:13:34:441
-1.912;1.186;8.218;0.4415;-0.6749;-1.1175;-0.6814;0.0436;0.1402;-24.3;8.9;-35.9;415;2020-06-19 13:13:34:452
-1.912;1.186;8.218;0.4415;-0.6749;-1.1175;-0.6814;0.0436;0.1402;-24.3;8.9;-35.9;425;2020-06-19 13:13:34:462
-0.353;1.981;9.257;1.475;0.0431;-0.5316;-0.5311;-0.4568;0.8882;-23.4;9.5;-35.8;434;2020-06-19 13:13:34:471
-0.353;1.981;9.257;1.475;0.0431;-0.5316;-0.5311;-0.4568;0.8882;-23.4;9.5;-35.8;445;2020-06-19 13:13:34:482
-0.353;1.981;9.257;1.475;0.0431;-0.5316;-0.5311;-0.4568;0.8882;-23.4;9.5;-35.8;455;2020-06-19 13:13:34:492
-0.058;2.039;9.473;1.8709;0.2698;-0.061;-0.3742;-0.817;1.4031;-22.53;10.02;-35.44;465;2020-06-19 13:13:34:502
-0.058;2.039;9.473;1.8709;0.2698;-0.061;-0.3742;-0.817;1.4031;-22.53;10.02;-35.44;474;2020-06-19 13:13:34:511
-0.058;2.039;9.473;1.8709;0.2698;-0.061;-0.3742;-0.817;1.4031;-22.53;10.02;-35.44;484;2020-06-19 13:13:34:521
1.157;2.108;9.502;1.9841;0.251;-0.2352;-0.3742;-0.817;1.4031;-22.53;10.02;-35.44;494;2020-06-19 13:13:34:531
1.157;2.108;9.502;1.9841;0.251;-0.2352;-0.1011;-1.3902;2.5315;-20.96;11.24;-34.59;504;2020-06-19 13:13:34:541
1.157;2.108;9.502;1.9841;0.251;-0.2352;-0.1011;-1.3902;2.5315;-20.96;11.24;-34.59;515;2020-06-19 13:13:34:552
1.735;2.226;10.012;2.2447;0.29;0.4119;-0.1011;-1.3902;2.5315;-20.96;11.24;-34.59;524;2020-06-19 13:13:34:561
1.735;2.226;10.012;2.2447;0.29;0.4119;0.0093;-1.5999;2.9386;-20.35;11.85;-34.76;535;2020-06-19 13:13:34:572
1.735;2.226;10.012;2.2447;0.29;0.4119;0.0093;-1.5999;2.9386;-20.35;11.85;-34.76;544;2020-06-19 13:13:34:581
2.147;1.892;9.885;2.0025;-0.0739;0.2786;0.0093;-1.5999;2.9386;-20.35;11.85;-34.76;554;2020-06-19 13:13:34:591
2.147;1.892;9.885;2.0025;-0.0739;0.2786;0.0091;-1.5594;3.1869;-19.62;12.83;-34.28;565;2020-06-19 13:13:34:602
2.147;1.892;9.885;2.0025;-0.0739;0.2786;0.0091;-1.5594;3.1869;-19.62;12.83;-34.28;575;2020-06-19 13:13:34:612
3.118;1.843;10.62;2.3348;-0.0813;1.0364;0.0091;-1.5594;3.1869;-19.62;12.83;-34.28;584;2020-06-19 13:13:34:621
3.118;1.843;10.62;2.3348;-0.0813;1.0364;0.0091;-1.5594;3.1869;-19.62;12.83;-34.28;594;2020-06-19 13:13:34:631
3.118;1.843;10.62;2.3348;-0.0813;1.0364;0.0487;-1.5602;3.275;-19.12;13.4;-34.12;604;2020-06-19 13:13:34:641
3.314;1.676;10.758;1.9197;-0.1648;1.2276;0.0487;-1.5602;3.275;-19.12;13.4;-34.12;614;2020-06-19 13:13:34:651
3.314;1.676;10.758;1.9197;-0.1648;1.2276;0.0487;-1.5602;3.275;-19.12;13.4;-34.12;624;2020-06-19 13:13:34:661
3.314;1.676;10.758;1.9197;-0.1648;1.2276;0.0487;-1.5602;3.275;-19.12;13.4;-34.12;634;2020-06-19 13:13:34:671
2.696;0.951;9.65;0.8667;-0.6763;0.1012;-0.0348;-1.1737;2.645;-18.5;14.1;-33.7;645;2020-06-19 13:13:34:682
2.696;0.951;9.65;0.8667;-0.6763;0.1012;-0.0348;-1.1737;2.645;-18.5;14.1;-33.7;658;2020-06-19 13:13:34:695
