ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
12.7855,2.2903,8.3346,0.2349,2.7567,9.4083,12.1945,-1.1329,-1.478,0.4451,-0.6133,-2.958,2.28,24.99,-27.47,354.77,-15.51,-1.84,2,2020-06-14 01:01:20:822
12.7855,2.2903,8.3346,0.2349,2.7567,9.4083,12.1945,-1.1329,-1.478,0.2853,-0.0892,-3.9678,2.28,24.99,-27.47,354.77,-15.51,-1.84,12,2020-06-14 01:01:20:832
11.4735,0.0768,7.5613,0.2349,2.7567,9.4083,12.1945,-1.1329,-1.478,0.2853,-0.0892,-3.9678,2.28,24.99,-27.47,354.77,-15.51,-1.84,22,2020-06-14 01:01:20:842
11.4735,0.0768,7.5613,-0.008,2.7963,9.3995,10.5654,-3.752,-2.1082,0.2853,-0.0892,-3.9678,2.28,24.99,-27.47,354.77,-15.51,-1.84,32,2020-06-14 01:01:20:852
11.4735,0.0768,7.5613,-0.008,2.7963,9.3995,10.5654,-3.752,-2.1082,-0.4295,0.6927,-4.9308,-1.75,22.44,-26.1,354.77,-15.51,-1.84,42,2020-06-14 01:01:20:862
8.7189,-2.1594,8.4591,-0.008,2.7963,9.3995,10.5654,-3.752,-2.1082,-0.4295,0.6927,-4.9308,-1.75,22.44,-26.1,354.77,-15.51,-1.84,52,2020-06-14 01:01:20:872
8.7189,-2.1594,8.4591,-0.5496,2.6101,9.4369,7.9137,-6.0494,-0.0535,-0.4295,0.6927,-4.9308,-1.75,22.44,-26.1,354.77,-15.51,-1.84,62,2020-06-14 01:01:20:882
8.7189,-2.1594,8.4591,-0.5496,2.6101,9.4369,7.9137,-6.0494,-0.0535,-0.4295,0.6927,-4.9308,-1.75,22.44,-26.1,354.77,-15.51,-1.84,72,2020-06-14 01:01:20:892
5.4449,-4.7762,10.2272,-0.5496,2.6101,9.4369,7.9137,-6.0494,-0.0535,-0.5328,1.4405,-5.5402,-7.46,21.18,-26.81,17.4,-15.44,3.33,82,2020-06-14 01:01:20:902
5.4449,-4.7762,10.2272,-1.3058,2.2553,9.4541,4.8279,-7.8466,1.1115,-0.5328,1.4405,-5.5402,-7.46,21.18,-26.81,17.4,-15.44,3.33,92,2020-06-14 01:01:20:912
