ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
1.9003,-4.6757,-14.1434,-1.9501,4.6088,8.4336,3.8559,-9.2948,-21.9184,-2.0764,-0.7912,-0.0434,18.96,20.0,-27.08,339.83,-30.33,13.74,12,2020-06-14 01:06:11:297
1.7793,-6.6305,-13.2862,-1.9501,4.6088,8.4336,3.4699,-10.8427,-21.1604,-2.0764,-0.7912,-0.0434,18.96,20.0,-27.08,339.83,-30.33,13.74,22,2020-06-14 01:06:11:307
1.7793,-6.6305,-13.2862,-1.9501,4.6088,8.4336,3.4699,-10.8427,-21.1604,-2.0764,-0.7912,-0.0434,18.96,20.0,-27.08,339.83,-30.33,13.74,32,2020-06-14 01:06:11:317
1.9062,-9.4138,-10.3174,-1.4806,3.6581,8.9776,3.4699,-10.8427,-21.1604,-4.0834,-2.2719,-0.216,18.09,21.3,-27.03,339.83,-30.33,13.74,42,2020-06-14 01:06:11:327
1.9062,-9.4138,-10.3174,-1.4806,3.6581,8.9776,3.3141,-13.2188,-17.839,-4.0834,-2.2719,-0.216,18.09,21.3,-27.03,339.83,-30.33,13.74,52,2020-06-14 01:06:11:337
1.9062,-9.4138,-10.3174,-1.4806,3.6581,8.9776,3.3141,-13.2188,-17.839,-6.0381,-3.3148,0.1675,18.09,21.3,-27.03,339.83,-30.33,13.74,62,2020-06-14 01:06:11:347
4.1843,-13.5606,-5.4656,-0.622,2.0629,9.567,3.3141,-13.2188,-17.839,-6.0381,-3.3148,0.1675,18.09,21.3,-27.03,339.83,-30.33,13.74,72,2020-06-14 01:06:11:357
4.1843,-13.5606,-5.4656,-0.622,2.0629,9.567,5.9481,-16.3535,-12.0977,-6.0381,-3.3148,0.1675,15.36,28.46,-22.51,337.42,-12.14,3.72,82,2020-06-14 01:06:11:367
4.1843,-13.5606,-5.4656,-0.622,2.0629,9.567,5.9481,-16.3535,-12.0977,-6.0381,-3.3148,0.1675,15.36,28.46,-22.51,337.42,-12.14,3.72,92,2020-06-14 01:06:11:377
8.4292,-17.3602,0.982,0.3791,0.1584,9.798,5.9481,-16.3535,-12.0977,-8.076,-4.0754,0.4178,15.36,28.46,-22.51,337.42,-12.14,3.72,102,2020-06-14 01:06:11:387
8.4292,-17.3602,0.982,0.3791,0.1584,9.798,10.5458,-17.9591,-0.4303,-8.076,-4.0754,0.4178,15.36,28.46,-22.51,337.42,-12.14,3.72,112,2020-06-14 01:06:11:397
8.4292,-17.3602,0.982,0.3791,0.1584,9.798,10.5458,-17.9591,-0.4303,-8.076,-4.0754,0.4178,13.4,36.91,-15.82,337.42,-12.14,3.72,122,2020-06-14 01:06:11:407
11.8829,-19.9172,19.7585,1.5172,-2.8017,9.2746,10.5458,-17.9591,-0.4303,-10.7381,-2.8472,-0.1201,13.4,36.91,-15.82,337.42,-12.14,3.72,132,2020-06-14 01:06:11:417
11.8829,-19.9172,19.7585,1.5172,-2.8017,9.2746,8.1697,-15.2845,25.6972,-10.7381,-2.8472,-0.1201,13.4,36.91,-15.82,337.42,-12.14,3.72,142,2020-06-14 01:06:11:427
7.8211,-16.4049,39.0869,1.5172,-2.8017,9.2746,8.1697,-15.2845,25.6972,-10.7381,-2.8472,-0.1201,13.4,36.91,-15.82,337.42,-12.14,3.72,152,2020-06-14 01:06:11:437
7.8211,-16.4049,39.0869,2.0073,-5.3639,7.9605,8.1697,-15.2845,25.6972,-7.472,-0.1861,-0.4706,11.6,41.56,-0.02,342.44,33.16,-14.15,162,2020-06-14 01:06:11:447
7.8211,-16.4049,39.0869,2.0073,-5.3639,7.9605,5.8713,-8.8197,32.0703,-7.472,-0.1861,-0.4706,11.6,41.56,-0.02,342.44,33.16,-14.15,172,2020-06-14 01:06:11:457
9.278,-14.5039,39.0917,2.0073,-5.3639,7.9605,5.8713,-8.8197,32.0703,-7.472,-0.1861,-0.4706,11.6,41.56,-0.02,342.44,33.16,-14.15,182,2020-06-14 01:06:11:467
9.278,-14.5039,39.0917,2.0787,-6.3529,7.1756,5.8713,-8.8197,32.0703,-2.1339,-0.6644,-0.4088,11.6,41.56,-0.02,342.44,33.16,-14.15,192,2020-06-14 01:06:11:477
9.278,-14.5039,39.0917,2.0787,-6.3529,7.1756,5.2876,-6.5451,32.3054,-2.1339,-0.6644,-0.4088,8.86,44.27,10.61,342.44,33.16,-14.15,201,2020-06-14 01:06:11:486
5.3156,-11.4213,39.0917,2.3264,-6.4606,7.0014,5.2876,-6.5451,32.3054,-2.1339,-0.6644,-0.4088,8.86,44.27,10.61,342.44,33.16,-14.15,212,2020-06-14 01:06:11:497
5.3156,-11.4213,39.0917,2.3264,-6.4606,7.0014,5.2876,-6.5451,32.3054,-0.2868,-0.1126,-0.8029,8.86,44.27,10.61,342.44,33.16,-14.15,222,2020-06-14 01:06:11:507
5.3156,-11.4213,39.0917,2.3264,-6.4606,7.0014,-0.085,-3.8125,32.2373,-0.2868,-0.1126,-0.8029,8.86,44.27,10.61,342.44,33.16,-14.15,232,2020-06-14 01:06:11:517
1.3256,-9.2857,37.8192,2.2651,-6.3288,7.1404,-0.085,-3.8125,32.2373,-0.2868,-0.1126,-0.8029,8.5,32.11,4.2,347.3,40.19,-17.6,243,2020-06-14 01:06:11:528
1.3256,-9.2857,37.8192,2.2651,-6.3288,7.1404,-0.085,-3.8125,32.2373,0.7444,1.8837,0.4391,8.5,32.11,4.2,347.3,40.19,-17.6,252,2020-06-14 01:06:11:537
3.2362,-7.7774,35.3663,2.2651,-6.3288,7.1404,1.1565,-1.6722,28.1311,0.7444,1.8837,0.4391,8.5,32.11,4.2,347.3,40.19,-17.6,262,2020-06-14 01:06:11:547
3.2362,-7.7774,35.3663,1.6932,-6.011,7.5612,1.1565,-1.6722,28.1311,0.7444,1.8837,0.4391,8.5,32.11,4.2,347.3,40.19,-17.6,273,2020-06-14 01:06:11:558
3.2362,-7.7774,35.3663,1.6932,-6.011,7.5612,1.1565,-1.6722,28.1311,2.9271,2.0371,0.7864,10.1,33.37,2.1,347.3,40.19,-17.6,282,2020-06-14 01:06:11:567
5.6184,-7.5284,30.4654,1.6932,-6.011,7.5612,4.3072,-1.8673,22.0643,2.9271,2.0371,0.7864,10.1,33.37,2.1,347.3,40.19,-17.6,292,2020-06-14 01:06:11:577
5.6184,-7.5284,30.4654,1.1562,-5.165,8.2557,4.3072,-1.8673,22.0643,2.9271,2.0371,0.7864,10.1,33.37,2.1,347.3,40.19,-17.6,302,2020-06-14 01:06:11:587
5.6184,-7.5284,30.4654,1.1562,-5.165,8.2557,4.3072,-1.8673,22.0643,4.8169,1.3372,-0.2149,10.1,33.37,2.1,347.3,40.19,-17.6,312,2020-06-14 01:06:11:597
