ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
1.8,0.93,27.04,2.31,0.83,16.3,0.03,0.1,-0.37,-7.0,-32.0,-26.0,5,2020-06-14 21:17:07:863
2.96,-0.04,24.35,2.31,0.83,16.3,0.03,0.1,-0.37,-8.0,-30.0,-27.0,15,2020-06-14 21:17:07:873
2.96,-0.04,24.35,2.76,0.3,13.31,0.03,0.1,-0.37,-8.0,-30.0,-27.0,25,2020-06-14 21:17:07:883
2.23,0.07,21.99,2.76,0.3,13.31,0.92,0.41,-0.68,-8.0,-30.0,-27.0,34,2020-06-14 21:17:07:892
2.23,0.07,21.99,2.76,0.3,13.31,0.92,0.41,-0.68,-6.0,-31.0,-26.0,44,2020-06-14 21:17:07:902
2.23,0.07,21.99,0.96,0.73,9.45,0.92,0.41,-0.68,-6.0,-31.0,-26.0,56,2020-06-14 21:17:07:914
0.94,0.66,18.19,0.96,0.73,9.45,0.92,0.41,-0.68,-6.0,-31.0,-26.0,64,2020-06-14 21:17:07:922
0.94,0.66,18.19,0.96,0.73,9.45,1.38,0.19,-0.69,-6.0,-31.0,-26.0,75,2020-06-14 21:17:07:933
0.94,0.66,18.19,0.96,0.73,9.45,1.38,0.19,-0.69,-4.0,-32.0,-25.0,85,2020-06-14 21:17:07:943
1.01,1.11,14.88,0.94,0.87,5.12,1.38,0.19,-0.69,-4.0,-32.0,-25.0,94,2020-06-14 21:17:07:952
1.01,1.11,14.88,0.94,0.87,5.12,1.26,0.07,-0.63,-4.0,-32.0,-25.0,105,2020-06-14 21:17:07:963
1.01,1.11,14.88,1.47,0.68,2.69,1.26,0.07,-0.63,-4.0,-34.0,-24.0,115,2020-06-14 21:17:07:973
1.63,1.34,12.65,1.47,0.68,2.69,1.26,0.07,-0.63,-4.0,-34.0,-24.0,125,2020-06-14 21:17:07:983
1.63,1.34,12.65,1.47,0.68,2.69,0.92,0.1,-0.61,-4.0,-34.0,-24.0,134,2020-06-14 21:17:07:992
1.63,1.34,12.65,0.7,0.8,1.83,0.92,0.1,-0.61,-5.0,-33.0,-24.0,145,2020-06-14 21:17:08:003
0.38,1.63,11.79,0.7,0.8,1.83,0.92,0.1,-0.61,-5.0,-33.0,-24.0,156,2020-06-14 21:17:08:014
0.38,1.63,11.79,0.7,0.8,1.83,0.99,0.28,-0.57,-5.0,-33.0,-24.0,165,2020-06-14 21:17:08:023
0.38,1.63,11.79,0.13,0.0,0.99,0.99,0.28,-0.57,-5.0,-33.0,-24.0,174,2020-06-14 21:17:08:032
-0.05,1.25,11.19,0.13,0.0,0.99,0.99,0.28,-0.57,-3.0,-35.0,-22.0,185,2020-06-14 21:17:08:043
-0.05,1.25,11.19,0.13,0.0,0.99,1.42,0.01,-0.6,-3.0,-35.0,-22.0,195,2020-06-14 21:17:08:053
-0.05,1.25,11.19,0.13,0.0,0.99,1.42,0.01,-0.6,-3.0,-35.0,-22.0,205,2020-06-14 21:17:08:063
-1.78,0.28,9.16,-1.63,-1.31,-0.94,1.42,0.01,-0.6,-2.0,-36.0,-21.0,215,2020-06-14 21:17:08:073
-1.78,0.28,9.16,-1.63,-1.31,-0.94,1.42,0.01,-0.6,-2.0,-36.0,-21.0,224,2020-06-14 21:17:08:082
-1.78,0.28,9.16,-1.63,-1.31,-0.94,1.51,-0.42,-0.66,-2.0,-36.0,-21.0,234,2020-06-14 21:17:08:092
-2.06,0.19,6.04,-1.97,-1.88,-3.95,1.51,-0.42,-0.66,-2.0,-36.0,-21.0,244,2020-06-14 21:17:08:102
-2.06,0.19,6.04,-1.97,-1.88,-3.95,1.51,-0.42,-0.66,-3.0,-36.0,-20.0,255,2020-06-14 21:17:08:113
-2.44,0.28,4.72,-2.38,-2.24,-5.13,1.64,-0.33,-0.78,-3.0,-36.0,-20.0,265,2020-06-14 21:17:08:123
-2.44,0.28,4.72,-2.38,-2.24,-5.13,1.64,-0.33,-0.78,-3.0,-36.0,-20.0,275,2020-06-14 21:17:08:133
-2.44,0.28,4.72,-2.38,-2.24,-5.13,1.64,-0.33,-0.78,1.0,-39.0,-17.0,285,2020-06-14 21:17:08:143
-3.43,0.19,3.59,-3.39,-2.78,-6.08,1.76,-0.41,-0.91,1.0,-39.0,-17.0,295,2020-06-14 21:17:08:153
-3.43,0.19,3.59,-3.39,-2.78,-6.08,1.76,-0.41,-0.91,1.0,-39.0,-17.0,305,2020-06-14 21:17:08:163
-3.43,0.19,3.59,-3.39,-2.78,-6.08,1.76,-0.41,-0.91,1.0,-39.0,-17.0,314,2020-06-14 21:17:08:172
-5.11,-0.44,1.97,-5.06,-3.89,-7.48,1.91,-0.24,-0.81,1.0,-39.0,-15.0,325,2020-06-14 21:17:08:183
-5.11,-0.44,1.97,-5.06,-3.89,-7.48,1.91,-0.24,-0.81,1.0,-39.0,-15.0,335,2020-06-14 21:17:08:193
-5.11,-0.44,1.97,-5.06,-3.89,-7.48,1.91,-0.24,-0.81,1.0,-39.0,-15.0,344,2020-06-14 21:17:08:202
-5.37,-0.88,0.49,-5.06,-3.89,-7.48,1.91,-0.24,-0.81,2.0,-39.0,-11.0,355,2020-06-14 21:17:08:213
-5.37,-0.88,0.49,-5.3,-4.81,-8.78,1.48,0.03,-0.56,2.0,-39.0,-11.0,365,2020-06-14 21:17:08:223
-5.37,-0.88,0.49,-5.3,-4.81,-8.78,1.48,0.03,-0.56,2.0,-39.0,-11.0,375,2020-06-14 21:17:08:233
-6.48,-1.11,-0.49,-5.3,-4.81,-8.78,1.48,0.03,-0.56,2.0,-40.0,-11.0,384,2020-06-14 21:17:08:242
-6.48,-1.11,-0.49,-6.77,-5.55,-9.88,0.75,-0.55,-0.06,2.0,-40.0,-11.0,395,2020-06-14 21:17:08:253
-6.48,-1.11,-0.49,-6.77,-5.55,-9.88,0.75,-0.55,-0.06,2.0,-40.0,-11.0,406,2020-06-14 21:17:08:264
-7.98,-1.42,-2.8,-6.77,-5.55,-9.88,0.75,-0.55,-0.06,3.0,-40.0,-10.0,415,2020-06-14 21:17:08:273
-7.98,-1.42,-2.8,-8.22,-5.7,-12.56,-0.41,-1.05,0.79,3.0,-40.0,-10.0,425,2020-06-14 21:17:08:283
-6.92,-1.54,-3.86,-8.22,-5.7,-12.56,-0.41,-1.05,0.79,3.0,-40.0,-10.0,434,2020-06-14 21:17:08:292
-6.92,-1.54,-3.86,-8.22,-5.7,-12.56,-0.41,-1.05,0.79,3.0,-40.0,-10.0,444,2020-06-14 21:17:08:302
-6.92,-1.54,-3.86,-5.88,-5.54,-11.26,-0.41,-1.05,0.79,2.0,-40.0,-11.0,455,2020-06-14 21:17:08:313
-5.62,-2.19,0.2,-5.88,-5.54,-11.26,-2.28,0.91,1.2,2.0,-40.0,-11.0,465,2020-06-14 21:17:08:323
-5.62,-2.19,0.2,-5.88,-5.54,-11.26,-2.28,0.91,1.2,2.0,-40.0,-11.0,475,2020-06-14 21:17:08:333
-5.62,-2.19,0.2,-4.83,-4.34,-5.2,-2.28,0.91,1.2,-2.0,-39.0,-14.0,485,2020-06-14 21:17:08:343
-4.0,-0.23,4.23,-4.83,-4.34,-5.2,-2.09,1.09,1.32,-2.0,-39.0,-14.0,495,2020-06-14 21:17:08:353
-4.0,-0.23,4.23,-4.83,-4.34,-5.2,-2.09,1.09,1.32,-2.0,-39.0,-14.0,505,2020-06-14 21:17:08:363
-4.0,-0.23,4.23,-3.61,-1.76,-4.72,-2.09,1.09,1.32,-2.0,-39.0,-14.0,514,2020-06-14 21:17:08:372
-3.51,0.85,4.42,-3.61,-1.76,-4.72,-2.09,1.09,1.32,-3.0,-38.0,-17.0,524,2020-06-14 21:17:08:382
-3.51,0.85,4.42,-3.61,-1.76,-4.72,-1.09,0.28,0.75,-3.0,-38.0,-17.0,534,2020-06-14 21:17:08:392
-3.51,0.85,4.42,-1.84,-1.97,-5.9,-1.09,0.28,0.75,-3.0,-38.0,-17.0,545,2020-06-14 21:17:08:403
-1.37,0.1,3.04,-1.84,-1.97,-5.9,-1.09,0.28,0.75,-3.0,-37.0,-18.0,554,2020-06-14 21:17:08:412
-1.37,0.1,3.04,-1.84,-1.97,-5.9,-1.5,-0.54,0.3,-3.0,-37.0,-18.0,564,2020-06-14 21:17:08:422
0.28,-0.76,5.2,0.29,-2.6,-4.07,-1.5,-0.54,0.3,-3.0,-37.0,-18.0,575,2020-06-14 21:17:08:433
0.28,-0.76,5.2,0.29,-2.6,-4.07,-1.5,-0.54,0.3,-5.0,-35.0,-20.0,585,2020-06-14 21:17:08:443
0.28,-0.76,5.2,0.29,-2.6,-4.07,-1.91,0.52,0.0,-5.0,-35.0,-20.0,595,2020-06-14 21:17:08:453
-0.7,-0.37,15.06,-0.56,-1.62,5.68,-1.91,0.52,0.0,-5.0,-35.0,-20.0,605,2020-06-14 21:17:08:463
-0.7,-0.37,15.06,-0.56,-1.62,5.68,-1.91,0.52,0.0,-3.0,-35.0,-21.0,615,2020-06-14 21:17:08:473
