ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT)
2.397,-3.3960000000000004,8.5213,1.4043,-6.8432,1.1305,3.6385,-0.0405,0.6317,17.91,21.16,-32.39
4.9924,-2.7495,4.3243,5.2866,-7.5347,-4.5083,3.6385,-0.0405,0.6317,17.91,21.16,-32.39
4.9924,-2.7495,4.3243,5.2866,-7.5347,-4.5083,3.0835,-0.179,0.1066,17.91,21.16,-32.39
4.9924,-2.7495,4.3243,5.2866,-7.5347,-4.5083,3.0835,-0.179,0.1066,17.91,21.16,-32.39
5.2581,-1.5129,2.8124,5.7886,-6.9497,-5.9621,3.0835,-0.179,0.1066,18.95,15.31,-36.15
5.2581,-1.5129,2.8124,5.7886,-6.9497,-5.9621,2.2451,-0.0224,-0.6008,18.95,15.31,-36.15
4.1664,-0.177,2.7585,5.7886,-6.9497,-5.9621,2.2451,-0.0224,-0.6008,18.95,15.31,-36.15
4.1664,-0.177,2.7585,4.687,-6.0207,-5.6366,2.2451,-0.0224,-0.6008,18.95,15.31,-36.15
4.1664,-0.177,2.7585,4.687,-6.0207,-5.6366,1.8978,0.2939,-0.8341,18.95,15.31,-36.15
3.9653,0.2767,2.5227,4.687,-6.0207,-5.6366,1.8978,0.2939,-0.8341,16.57,12.74,-36.92
3.9653,0.2767,2.5227,4.687,-6.0207,-5.6366,1.8978,0.2939,-0.8341,16.57,12.74,-36.92
3.9653,0.2767,2.5227,4.8779,-6.0089,-5.8151,1.8712,0.0511,-1.0035,16.57,12.74,-36.92
4.1376,0.6311,1.4704,4.8779,-6.0089,-5.8151,1.8712,0.0511,-1.0035,18.27,11.43,-36.98
4.1376,0.6311,1.4704,4.8779,-6.0089,-5.8151,1.8712,0.0511,-1.0035,18.27,11.43,-36.98
4.1376,0.6311,1.4704,5.1407,-5.8833,-6.4834,1.7423,-0.5167,-1.2719,18.27,11.43,-36.98
4.3184,1.0321,0.5391,5.1407,-5.8833,-6.4834,1.7423,-0.5167,-1.2719,18.27,11.43,-36.98
4.3184,1.0321,0.5391,5.1407,-5.8833,-6.4834,1.7423,-0.5167,-1.2719,17.47,12.53,-39.82
3.1919,1.0884,-0.1481,4.4956,-5.9553,-7.1154,1.5325,-0.7671,-1.6309,17.47,12.53,-39.82
3.1919,1.0884,-0.1481,4.4956,-5.9553,-7.1154,1.5325,-0.7671,-1.6309,17.47,12.53,-39.82
3.1919,1.0884,-0.1481,4.4956,-5.9553,-7.1154,1.5325,-0.7671,-1.6309,17.47,12.53,-39.82
1.4525,1.3625,0.0315,2.6187,-5.8772,-6.6579,1.1671,-0.9322,-1.796,15.92,9.96,-39.89
1.4525,1.3625,0.0315,2.6187,-5.8772,-6.6579,1.1671,-0.9322,-1.796,15.92,9.96,-39.89
1.4525,1.3625,0.0315,2.6187,-5.8772,-6.6579,1.1671,-0.9322,-1.796,15.92,9.96,-39.89
0.3656,1.305,-0.4952,2.6187,-5.8772,-6.6579,1.1671,-0.9322,-1.796,15.92,9.96,-39.89
0.3656,1.305,-0.4952,1.7565,-6.144,-7.1728,1.0233,-0.8587,-1.7523,14.36,7.37,-42.81
-0.2749,0.8609,-1.9748,1.7565,-6.144,-7.1728,1.0233,-0.8587,-1.7523,14.36,7.37,-42.81
-0.2749,0.8609,-1.9748,1.7565,-6.144,-7.1728,1.0233,-0.8587,-1.7523,14.36,7.37,-42.81
-0.2749,0.8609,-1.9748,0.8715,-6.8895,-8.2329,0.3564,-1.3583,-1.6565,14.36,7.37,-42.81
-1.7114,0.5006,-1.4888,0.8715,-6.8895,-8.2329,0.3564,-1.3583,-1.6565,13.45,16.67,-36.45
-1.7114,0.5006,-1.4888,0.8715,-6.8895,-8.2329,0.3564,-1.3583,-1.6565,13.45,16.67,-36.45
-1.7114,0.5006,-1.4888,-0.9831,-6.7234,-7.2418,-0.1784,-1.7578,-1.4317,13.45,16.67,-36.45
-3.4185,0.2803,-0.8723,-0.9831,-6.7234,-7.2418,-0.1784,-1.7578,-1.4317,13.45,16.67,-36.45
-3.4185,0.2803,-0.8723,-0.9831,-6.7234,-7.2418,-0.1784,-1.7578,-1.4317,10.95,17.32,-38.54
-3.4185,0.2803,-0.8723,-0.9831,-6.7234,-7.2418,-0.6077,-1.4957,-1.0983,10.95,17.32,-38.54
-3.9572,-0.578,-1.016,-2.3096,-7.412000000000001,-7.5244,-0.6077,-1.4957,-1.0983,10.95,17.32,-38.54
-3.9572,-0.578,-1.016,-2.3096,-7.412000000000001,-7.5244,-0.6077,-1.4957,-1.0983,10.95,17.32,-38.54
-4.1643,-1.4639,-0.324,-2.3096,-7.412000000000001,-7.5244,-1.3704,-1.1356,-0.7734,9.28,17.98,-38.51
-4.1643,-1.4639,-0.324,-2.6099,-8.1,-7.0982,-1.3704,-1.1356,-0.7734,9.28,17.98,-38.51
-4.1643,-1.4639,-0.324,-2.6099,-8.1,-7.0982,-1.3704,-1.1356,-0.7734,9.28,17.98,-38.51
-3.8267,-1.7811,1.1388,-2.6099,-8.1,-7.0982,-2.0937,-1.2358,-0.6796,9.28,17.98,-38.51
-3.8267,-1.7811,1.1388,-2.6457,-8.0449,-5.1635,-2.0937,-1.2358,-0.6796,6.62,23.17,-37.61
-3.8267,-1.7811,1.1388,-2.6457,-8.0449,-5.1635,-2.0937,-1.2358,-0.6796,6.62,23.17,-37.61
-6.2831,-2.8896,4.5542,-2.6457,-8.0449,-5.1635,-2.2727,-2.0869,-0.7606,6.62,23.17,-37.61
-6.2831,-2.8896,4.5542,-5.4385,-8.3919,-2.7984,-2.2727,-2.0869,-0.7606,6.62,23.17,-37.61
-6.2831,-2.8896,4.5542,-5.4385,-8.3919,-2.7984,-2.2727,-2.0869,-0.7606,3.23,25.79,-35.36
-7.6071,-3.5324,5.8853,-6.6463,-8.4434,-2.1082,-2.7936,-1.5468,-0.4005,3.23,25.79,-35.36
-7.6071,-3.5324,5.8853,-6.6463,-8.4434,-2.1082,-2.7936,-1.5468,-0.4005,3.23,25.79,-35.36
-7.6071,-3.5324,5.8853,-6.6463,-8.4434,-2.1082,-2.7936,-1.5468,-0.4005,3.23,25.79,-35.36
-8.2368,-4.1142,9.7915,-6.6463,-8.4434,-2.1082,-2.7936,-1.5468,-0.4005,3.23,25.79,-35.36
-8.2368,-4.1142,9.7915,-7.8212,-7.9366,2.4943,-3.4434,-0.0683,-0.1896,0.92,27.36,-34.26
-9.4926,-4.4375,14.4853,-7.8212,-7.9366,2.4943,-3.4434,-0.0683,-0.1896,0.92,27.36,-34.26
-9.4926,-4.4375,14.4853,-7.8212,-7.9366,2.4943,-3.4434,-0.0683,-0.1896,0.92,27.36,-34.26
-9.4926,-4.4375,14.4853,-8.1152,-7.1235,7.0046,-3.1909,-0.195,0.3217,-0.05,31.26,-31.28
-8.3613,-3.9933,16.4114,-8.1152,-7.1235,7.0046,-3.1909,-0.195,0.3217,-0.05,31.26,-31.28
-8.3613,-3.9933,16.4114,-8.1152,-7.1235,7.0046,-3.1909,-0.195,0.3217,-0.05,31.26,-31.28
-8.3613,-3.9933,16.4114,-7.4735,-5.4038,8.7356,-3.1739,-0.2387,0.7319,-0.05,31.26,-31.28
-8.3014,-3.0991,19.0199,-7.4735,-5.4038,8.7356,-3.1739,-0.2387,0.7319,-0.23,36.48,-24.0
-8.3014,-3.0991,19.0199,-7.4735,-5.4038,8.7356,-3.1739,-0.2387,0.7319,-0.23,36.48,-24.0
-8.3014,-3.0991,19.0199,-7.4735,-5.4038,8.7356,-3.1739,-0.2387,0.7319,-0.23,36.48,-24.0
-6.1969,-1.9809999999999999,19.5395,-5.6776,-3.1026,10.1386,-3.0056,0.6785,1.2911,-0.23,36.48,-24.0
-6.1969,-1.9809999999999999,19.5395,-5.6776,-3.1026,10.1386,-3.0056,0.6785,1.2911,-0.23,36.48,-24.0
-3.4268,-1.2113,20.7318,-5.6776,-3.1026,10.1386,-3.0056,0.6785,1.2911,10.19,24.49,-31.01
-3.4268,-1.2113,20.7318,-2.3471,-1.4153,11.1442,-2.9267,0.6455,1.2315,10.19,24.49,-31.01
-3.4268,-1.2113,20.7318,-2.3471,-1.4153,11.1442,-2.9267,0.6455,1.2315,10.19,24.49,-31.01
-3.4879,-0.5744,21.2381,-2.3471,-1.4153,11.1442,-2.9267,0.6455,1.2315,11.67,29.03,-26.6
-3.4879,-0.5744,21.2381,-2.2479,0.0192,11.6188,-2.3813,0.2183,1.2634,11.67,29.03,-26.6
-3.4879,-0.5744,21.2381,-2.2479,0.0192,11.6188,-2.3813,0.2183,1.2634,11.67,29.03,-26.6
-2.0897,0.242,21.8487,-2.2479,0.0192,11.6188,-2.3813,0.2183,1.2634,11.67,29.03,-26.6
