ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT)
1.375241,-2.10819,10.57058,1.890427,-1.5071709999999998,0.628574,-0.047577,-0.153014,0.445639,-34.7359,9.3195,-25.9905
1.825595,-2.223174,10.654422,1.890427,-1.5071709999999998,0.628574,-0.047577,-0.153014,0.445639,-34.7359,9.3195,-25.9905
1.825595,-2.223174,10.654422,1.890427,-1.5071709999999998,0.628574,-0.047577,-0.153014,0.445639,-34.7359,9.3195,-25.9905
1.825595,-2.223174,10.654422,2.046432,-1.448318,0.727603,-0.047577,-0.153014,0.445639,-34.6502,10.4167,-25.834
1.80164,-1.914154,10.194486,2.046432,-1.448318,0.727603,0.35286300000000004,0.061051,0.546814,-34.6502,10.4167,-25.834
1.80164,-1.914154,10.194486,2.046432,-1.448318,0.727603,0.35286300000000004,0.061051,0.546814,-34.6502,10.4167,-25.834
1.80164,-1.914154,10.194486,2.347235,-1.119608,-0.021728,0.35286300000000004,0.061051,0.546814,-34.6502,10.4167,-25.834
2.053168,-1.279347,9.554888,2.347235,-1.119608,-0.021728,0.6308279999999999,0.21547600000000006,0.690589,-34.7924,10.5039,-26.0883
2.053168,-1.279347,9.554888,2.347235,-1.119608,-0.021728,0.6308279999999999,0.21547600000000006,0.690589,-34.7924,10.5039,-26.0883
2.053168,-1.279347,9.554888,2.5293360000000003,-0.581334,-0.672396,0.6308279999999999,0.21547600000000006,0.690589,-34.7924,10.5039,-26.0883
2.407702,-0.625375,8.994341,2.5293360000000003,-0.581334,-0.672396,0.689403,0.164356,0.74597,-34.5942,10.7473,-25.7035
2.407702,-0.625375,8.994341,2.5293360000000003,-0.581334,-0.672396,0.689403,0.164356,0.74597,-34.5942,10.7473,-25.7035
2.407702,-0.625375,8.994341,2.820615,-0.197911,-1.285043,0.689403,0.164356,0.74597,-34.5942,10.7473,-25.7035
2.599342,-0.119925,8.520032,2.820615,-0.197911,-1.285043,0.598878,0.064246,0.7033689999999999,-34.0325,10.8682,-25.6818
2.599342,-0.119925,8.520032,2.820615,-0.197911,-1.285043,0.598878,0.064246,0.7033689999999999,-34.0325,10.8682,-25.6818
2.599342,-0.119925,8.520032,3.0526020000000003,0.175885,-1.61372,0.598878,0.064246,0.7033689999999999,-34.0325,10.8682,-25.6818
2.683184,0.378339,8.019372,3.0526020000000003,0.175885,-1.61372,0.431673,-0.090179,0.565984,-34.0325,10.8682,-25.6818
2.683184,0.378339,8.019372,3.0526020000000003,0.175885,-1.61372,0.431673,-0.090179,0.565984,-33.9146,11.0345,-26.3227
2.683184,0.378339,8.019372,2.970566,0.301682,-1.952815,0.431673,-0.090179,0.565984,-33.9146,11.0345,-26.3227
2.726303,0.543629,7.667234,2.970566,0.301682,-1.952815,0.431673,-0.090179,0.565984,-33.9146,11.0345,-26.3227
2.726303,0.543629,7.667234,2.970566,0.301682,-1.952815,0.300678,-0.160469,0.464809,-33.9146,11.0345,-26.3227
2.910757,0.821507,7.3845649999999985,2.952902,0.453954,-2.315892,0.300678,-0.160469,0.464809,-34.3905,11.9877,-26.4006
2.910757,0.821507,7.3845649999999985,2.952902,0.453954,-2.315892,0.300678,-0.160469,0.464809,-34.3905,11.9877,-26.4006
