ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT)
-3.2102,-0.5864,8.5381,-2.1137,-2.9410000000000003,-1.5007,-0.0015,-0.2046,-2.2956,21.09,25.39,-29.21
-3.2102,-0.5864,8.5381,-2.1137,-2.9410000000000003,-1.5007,-0.0015,-0.2046,-2.2956,21.09,25.39,-29.21
-3.2102,-0.5864,8.5381,-2.1137,-2.9410000000000003,-1.5007,-0.0015,-0.2046,-2.2956,21.09,25.39,-29.21
-5.42,-0.924,11.4483,-4.4341,-3.0813,1.7489,-0.3307,-0.4485,-2.2211,17.7,28.0,-28.39
-5.42,-0.924,11.4483,-4.4341,-3.0813,1.7489,-0.3307,-0.4485,-2.2211,17.7,28.0,-28.39
-5.42,-0.924,11.4483,-4.4341,-3.0813,1.7489,-0.3307,-0.4485,-2.2211,17.7,28.0,-28.39
-8.3481,-1.4172,10.9191,-7.5458,-3.5346,1.1944,0.2499,-0.2749,-2.0346,17.7,28.0,-28.39
-8.3481,-1.4172,10.9191,-7.5458,-3.5346,1.1944,0.2499,-0.2749,-2.0346,13.51,29.95,-29.71
-8.3481,-1.4172,10.9191,-7.5458,-3.5346,1.1944,0.2499,-0.2749,-2.0346,13.51,29.95,-29.71
-10.4802,-1.41,8.2041,-7.5458,-3.5346,1.1944,0.2499,-0.2749,-2.0346,13.51,29.95,-29.71
-10.4802,-1.41,8.2041,-9.5595,-3.508,-1.4646,0.2211,-0.44,-1.5744,13.51,29.95,-29.71
-10.4802,-1.41,8.2041,-9.5595,-3.508,-1.4646,0.2211,-0.44,-1.5744,11.04,29.97,-30.41
-12.5547,-0.8869,8.6327,-11.6916,-2.8217,-0.8697,0.2211,-0.44,-1.5744,11.04,29.97,-30.41
-12.5547,-0.8869,8.6327,-11.6916,-2.8217,-0.8697,-0.18899999999999997,-0.1854,-0.7403,11.04,29.97,-30.41
