ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT)
-1.8575,-3.1973,2.6089,-2.2845,-7.2561,-5.4475,3.6310000000000002,0.6284,-0.2365,24.83,18.64,-31.77
-1.8575,-3.1973,2.6089,-2.2845,-7.2561,-5.4475,3.6310000000000002,0.6284,-0.2365,24.83,18.64,-31.77
-1.8575,-3.1973,2.6089,-1.7144,-7.7971,-7.8420000000000005,3.6310000000000002,0.6284,-0.2365,23.42,12.16,-35.53
-1.8575,-3.1973,2.6089,-1.7144,-7.7971,-7.8420000000000005,3.6310000000000002,0.6284,-0.2365,23.42,12.16,-35.53
-0.8663,-3.0081,0.4122,-1.7144,-7.7971,-7.8420000000000005,3.19,0.5571,-0.0884,23.42,12.16,-35.53
-0.8663,-3.0081,0.4122,-0.765,-8.3092,-9.5852,3.19,0.5571,-0.0884,23.42,12.16,-35.53
-0.7286,-2.6622,-1.5786,-0.765,-8.3092,-9.5852,3.19,0.5571,-0.0884,23.59,7.63,-36.39
-0.7286,-2.6622,-1.5786,-0.765,-8.3092,-9.5852,2.4922,0.4836,-0.1331,23.59,7.63,-36.39
-0.7286,-2.6622,-1.5786,-0.765,-8.3092,-9.5852,2.4922,0.4836,-0.1331,23.59,7.63,-36.39
-1.1847,-2.072,-2.6775,-1.1812,-8.2928,-10.4696,2.4922,0.4836,-0.1331,23.59,7.63,-36.39
-1.1847,-2.072,-2.6775,-1.1812,-8.2928,-10.4696,1.6922,0.1576,-0.049,25.4,3.09,-37.27
-1.1847,-2.072,-2.6775,-1.1812,-8.2928,-10.4696,1.6922,0.1576,-0.049,25.4,3.09,-37.27
-1.2685,-1.4794,-3.3563,-1.229,-7.9213,-11.0717,1.6922,0.1576,-0.049,25.4,3.09,-37.27
-1.2685,-1.4794,-3.3563,-1.229,-7.9213,-11.0717,0.856,0.1182,0.1204,25.4,3.09,-37.27
-0.3551,-0.8426,-4.3235,-0.4157,-7.4059,-11.7222,0.856,0.1182,0.1204,22.91,3.75,-37.23
-0.3551,-0.8426,-4.3235,-0.4157,-7.4059,-11.7222,0.856,0.1182,0.1204,22.91,3.75,-37.23
-0.3551,-0.8426,-4.3235,-0.4157,-7.4059,-11.7222,-0.1123,0.1618,0.0682,22.91,3.75,-37.23
0.2471,-0.4595,-4.3894,-0.4157,-7.4059,-11.7222,-0.1123,0.1618,0.0682,22.91,3.75,-37.23
0.2471,-0.4595,-4.3894,0.3035,-6.8486,-11.8233,-0.1123,0.1618,0.0682,22.67,4.93,-41.25
0.2471,-0.4595,-4.3894,0.3035,-6.8486,-11.8233,-0.1123,0.1618,0.0682,22.67,4.93,-41.25
-0.4078,-0.098,-3.6436,0.3035,-6.8486,-11.8233,-0.9709,0.392,-0.0586,22.67,4.93,-41.25
-0.4078,-0.098,-3.6436,-0.3722,-6.2410000000000005,-11.0179,-0.9709,0.392,-0.0586,22.67,4.93,-41.25
-0.4078,-0.098,-3.6436,-0.3722,-6.2410000000000005,-11.0179,-0.9709,0.392,-0.0586,24.3,5.58,-39.11
-0.8148,0.0469,-2.3495,-0.3722,-6.2410000000000005,-11.0179,-1.5835,0.2194,0.1044,24.3,5.58,-39.11
-0.8148,0.0469,-2.3495,-0.564,-5.8432,-9.8931,-1.5835,0.2194,0.1044,24.3,5.58,-39.11
-0.7501,-0.1279,-1.1261,-0.564,-5.8432,-9.8931,-1.5835,0.2194,0.1044,24.3,5.58,-39.11
-0.7501,-0.1279,-1.1261,-0.564,-5.8432,-9.8931,-1.9904,0.0085,0.2397,23.36,8.83,-36.86
-0.7501,-0.1279,-1.1261,0.008,-5.9596,-8.418,-1.9904,0.0085,0.2397,23.36,8.83,-36.86
-0.203,-0.8521,-0.1792,0.008,-5.9596,-8.418,-1.9904,0.0085,0.2397,23.36,8.83,-36.86
-0.203,-0.8521,-0.1792,0.008,-5.9596,-8.418,-2.5848,0.0766,0.0927,23.36,8.83,-36.86
-0.203,-0.8521,-0.1792,-0.2873,-6.0572,-7.5951,-2.5848,0.0766,0.0927,26.45,18.68,-27.63
-1.1691,-1.6841,2.6304,-0.2873,-6.0572,-7.5951,-2.5848,0.0766,0.0927,26.45,18.68,-27.63
-1.1691,-1.6841,2.6304,-0.2873,-6.0572,-7.5951,-3.2985,-0.1428,0.0511,26.45,18.68,-27.63
-1.7509,-1.41,7.4092,-1.4317,-5.432,-3.1626,-3.2985,-0.1428,0.0511,27.95,22.55,-26.8
-1.7509,-1.41,7.4092,-1.4317,-5.432,-3.1626,-3.2985,-0.1428,0.0511,27.95,22.55,-26.8
-1.7509,-1.41,7.4092,-2.1774,-3.5263,1.8345,-3.4892,-1.1079,0.0778,27.95,22.55,-26.8
-2.2513,0.0086,12.5987,-2.1774,-3.5263,1.8345,-3.4892,-1.1079,0.0778,27.95,22.55,-26.8
-2.2513,0.0086,12.5987,-2.1774,-3.5263,1.8345,-3.4892,-1.1079,0.0778,27.95,22.55,-26.8
-2.2513,0.0086,12.5987,-1.7908,-1.6362,4.0918,-3.4892,-1.1079,0.0778,24.51,26.46,-25.23
-0.2294,0.2731,13.8628,-1.7908,-1.6362,4.0918,-3.3763,-0.0683,0.6243,24.51,26.46,-25.23
-0.2294,0.2731,13.8628,-1.7908,-1.6362,4.0918,-3.3763,-0.0683,0.6243,24.51,26.46,-25.23
-0.2294,0.2731,13.8628,1.4038,-0.9292,7.3085,-3.3763,-0.0683,0.6243,24.51,26.46,-25.23
2.5239,0.0122,18.4202,1.4038,-0.9292,7.3085,-3.5798,0.1448,0.4474,25.97,31.64,-22.22
2.5239,0.0122,18.4202,1.4038,-0.9292,7.3085,-3.5798,0.1448,0.4474,25.97,31.64,-22.22
2.5239,0.0122,18.4202,2.8836,-0.5142,11.715,-3.5798,0.1448,0.4474,25.97,31.64,-22.22
2.8208,-0.6714,22.3514,2.8836,-0.5142,11.715,-3.2857,0.3834,-0.0969,25.97,31.64,-22.22
2.8208,-0.6714,22.3514,2.8836,-0.5142,11.715,-3.2857,0.3834,-0.0969,25.93,32.95,-20.05
1.2239,-0.4068,27.675,1.3207,0.4087,17.2228,-3.2857,0.3834,-0.0969,25.93,32.95,-20.05
1.2239,-0.4068,27.675,1.3207,0.4087,17.2228,-2.5443,0.5933,0.0767,25.93,32.95,-20.05
1.2239,-0.4068,27.675,1.3207,0.4087,17.2228,-2.5443,0.5933,0.0767,25.93,32.95,-20.05
1.7805,0.3198,31.1442,1.7480000000000002,1.7656,21.3737,-2.5443,0.5933,0.0767,26.5,34.14,-14.8
1.7805,0.3198,31.1442,1.7480000000000002,1.7656,21.3737,-0.6663,0.2663,0.5124,26.5,34.14,-14.8
1.7805,0.3198,31.1442,1.7480000000000002,1.7656,21.3737,-0.6663,0.2663,0.5124,26.5,34.14,-14.8
4.3459,0.7268,30.4642,4.3592,2.2909,20.7261,-0.6663,0.2663,0.5124,25.77,31.55,-16.31
4.3459,0.7268,30.4642,4.3592,2.2909,20.7261,1.101,-0.2941,0.5007,25.77,31.55,-16.31
4.3459,0.7268,30.4642,4.3592,2.2909,20.7261,1.101,-0.2941,0.5007,25.77,31.55,-16.31
5.9728,1.1099,26.0242,4.3592,2.2909,20.7261,1.101,-0.2941,0.5007,25.77,31.55,-16.31
5.9728,1.1099,26.0242,6.2788,2.2149,14.5469,2.3005,-0.6446,0.0895,25.77,31.55,-16.31
5.9728,1.1099,26.0242,6.2788,2.2149,14.5469,2.3005,-0.6446,0.0895,26.6,31.53,-17.73
6.8539,1.0225,20.7868,6.3853,1.3883,8.5131,2.3005,-0.6446,0.0895,26.6,31.53,-17.73
6.8539,1.0225,20.7868,6.3853,1.3883,8.5131,2.4933,-0.7117,-0.473,26.6,31.53,-17.73
6.8539,1.0225,20.7868,6.3853,1.3883,8.5131,2.4933,-0.7117,-0.473,26.6,31.53,-17.73
6.3427,1.1997,15.868,6.3853,1.3883,8.5131,2.4933,-0.7117,-0.473,23.7,19.73,-25.24
6.3427,1.1997,15.868,5.7528,0.8084,5.2747,2.1056,-0.4123,-0.7798,23.7,19.73,-25.24
5.9644,1.5756,15.4418,5.7528,0.8084,5.2747,2.1056,-0.4123,-0.7798,23.7,19.73,-25.24
5.9644,1.5756,15.4418,5.7528,0.8084,5.2747,2.1056,-0.4123,-0.7798,21.3,17.78,-28.13
5.9644,1.5756,15.4418,4.7205,0.6902,5.3283,2.1908,-0.5103,-1.2538,21.3,17.78,-28.13
4.1412,1.4642,16.4414,4.7205,0.6902,5.3283,2.1908,-0.5103,-1.2538,21.3,17.78,-28.13
4.1412,1.4642,16.4414,4.7205,0.6902,5.3283,2.1908,-0.5103,-1.2538,21.3,17.78,-28.13
4.1412,1.4642,16.4414,3.035,-0.5989,6.129,2.9525,-1.1005,-1.6511,20.57,15.16,-33.89
2.9968,-0.0453,13.9909,3.035,-0.5989,6.129,2.9525,-1.1005,-1.6511,20.57,15.16,-33.89
2.9968,-0.0453,13.9909,3.035,-0.5989,6.129,2.9525,-1.1005,-1.6511,20.57,15.16,-33.89
2.9968,-0.0453,13.9909,0.8081,-3.0736,2.3275,3.1964,-1.0089,-2.0442,20.57,15.16,-33.89
0.8408,-0.1039,10.3912,0.8081,-3.0736,2.3275,3.1964,-1.0089,-2.0442,16.45,15.18,-36.0
0.8408,-0.1039,10.3912,0.8081,-3.0736,2.3275,3.1964,-1.0089,-2.0442,16.45,15.18,-36.0
-1.2302,-0.0417,5.6148,-1.3956,-3.7807,-1.982,3.1964,-1.0089,-2.0442,16.45,15.18,-36.0
-1.2302,-0.0417,5.6148,-1.3956,-3.7807,-1.982,2.9088,-0.113,-2.1998,16.45,15.18,-36.0
-1.2302,-0.0417,5.6148,-1.3956,-3.7807,-1.982,2.9088,-0.113,-2.1998,16.45,15.18,-36.0
-1.2302,-0.0417,5.6148,-1.3956,-3.7807,-1.982,2.9088,-0.113,-2.1998,14.89,12.59,-38.2
-3.6734,-0.3182,2.3275,-4.1163,-4.9566,-6.5711,2.1173,0.5698,-1.8983,14.89,12.59,-38.2
-3.6734,-0.3182,2.3275,-4.1163,-4.9566,-6.5711,2.1173,0.5698,-1.8983,14.89,12.59,-38.2
-5.2536,-1.0425,1.7841,-5.5046,-6.1709,-6.8666,2.1173,0.5698,-1.8983,14.89,12.59,-38.2
-5.2536,-1.0425,1.7841,-5.5046,-6.1709,-6.8666,1.6933,0.017,-1.2783,13.32,10.66,-38.25
-5.2536,-1.0425,1.7841,-5.5046,-6.1709,-6.8666,1.6933,0.017,-1.2783,13.32,10.66,-38.25
-5.3279,-1.5453,0.8156,-5.5066,-7.0968,-7.6889,1.6933,0.017,-1.2783,13.32,10.66,-38.25
-5.3279,-1.5453,0.8156,-5.5066,-7.0968,-7.6889,1.2086,-0.4027,-0.6583,15.39,7.69,-45.32
-5.3279,-1.5453,0.8156,-5.5066,-7.0968,-7.6889,1.2086,-0.4027,-0.6583,15.39,7.69,-45.32
-4.5126,-2.2276,0.32,-4.5114,-8.1231,-8.046,1.2086,-0.4027,-0.6583,15.39,7.69,-45.32
-4.5126,-2.2276,0.32,-4.5114,-8.1231,-8.046,0.6483,0.0074,-0.4186,15.39,7.69,-45.32
-4.5126,-2.2276,0.32,-4.5114,-8.1231,-8.046,0.6483,0.0074,-0.4186,15.39,7.69,-45.32
-4.1547,-4.0185,0.3619,-4.5114,-8.1231,-8.046,0.6483,0.0074,-0.4186,15.42,7.05,-44.63
-4.1547,-4.0185,0.3619,-4.2181,-9.8583,-7.7578,0.0411,0.165,-0.5891,15.42,7.05,-44.63
-4.1547,-4.0185,0.3619,-4.2181,-9.8583,-7.7578,0.0411,0.165,-0.5891,15.42,7.05,-44.63
-5.5744,-4.5632,1.8511,-4.2181,-9.8583,-7.7578,0.0411,0.165,-0.5891,20.59,16.97,-32.7
-5.5744,-4.5632,1.8511,-6.1418,-10.2086,-5.9295,-0.0516,-0.6147,-0.4964,20.59,16.97,-32.7
-7.6598,-3.8257,2.4042,-6.1418,-10.2086,-5.9295,-0.0516,-0.6147,-0.4964,20.59,16.97,-32.7
-7.6598,-3.8257,2.4042,-6.1418,-10.2086,-5.9295,-0.0516,-0.6147,-0.4964,20.59,16.97,-32.7
