ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT)
3.2566,-2.4203,-0.2965,0.8233,-9.8179,-6.7251,0.4224,-1.8547,-2.5044,20.75,-9.21,-43.1
1.6261,-2.5736,-1.1764,0.8233,-9.8179,-6.7251,-0.0793,-2.2627,-2.5651,20.75,-9.21,-43.1
1.6261,-2.5736,-1.1764,-0.9638,-9.986,-7.4137,-0.0793,-2.2627,-2.5651,20.75,-9.21,-43.1
1.6261,-2.5736,-1.1764,-0.9638,-9.986,-7.4137,-0.0793,-2.2627,-2.5651,12.52,4.16,-40.78
-0.1815,-2.3449,-0.9537,-0.9638,-9.986,-7.4137,-0.7611,-2.1125,-2.2456,12.52,4.16,-40.78
-0.1815,-2.3449,-0.9537,-2.5217,-9.6537,-7.1064,-0.7611,-2.1125,-2.2456,12.52,4.16,-40.78
-0.1815,-2.3449,-0.9537,-2.5217,-9.6537,-7.1064,-0.7611,-2.1125,-2.2456,10.8,6.09,-44.26
-0.8986,-1.8816,-1.6073,-2.5217,-9.6537,-7.1064,-0.7611,-2.1125,-2.2456,10.8,6.09,-44.26
-0.8986,-1.8816,-1.6073,-2.9502,-9.2614,-7.9999,-1.4439,-1.5085,-1.9909999999999999,10.8,6.09,-44.26
-1.4911,-2.1103,-1.2051,-2.9502,-9.2614,-7.9999,-1.4439,-1.5085,-1.9909999999999999,10.8,6.09,-44.26
-1.4911,-2.1103,-1.2051,-2.9502,-9.2614,-7.9999,-1.4439,-1.5085,-1.9909999999999999,10.8,6.09,-44.26
-1.4911,-2.1103,-1.2051,-3.6799,-9.1736,-7.0733,-2.2034,-1.2113,-2.0016,7.38,9.34,-43.41
-3.2006,-2.1007,0.5786,-3.6799,-9.1736,-7.0733,-2.2034,-1.2113,-2.0016,7.38,9.34,-43.41
-3.2006,-2.1007,0.5786,-3.6799,-9.1736,-7.0733,-2.2034,-1.2113,-2.0016,7.38,9.34,-43.41
-3.2006,-2.1007,0.5786,-5.856,-8.5038,-5.3641,-2.5667,-1.3849,-2.1188,3.12,13.25,-42.54
