ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT)
-5.0465,0.9866,9.2085,-4.9724,-0.048,-0.5278,0.1252,-0.1694,-0.3174,18.54,30.64,-27.52
-5.0465,0.9866,9.2085,-4.9724,-0.048,-0.5278,0.1252,-0.1694,-0.3174,18.54,30.64,-27.52
-5.1914,1.2667,9.2636,-4.9724,-0.048,-0.5278,0.2573,-0.2408,-0.3078,18.54,30.64,-27.52
-5.1914,1.2667,9.2636,-4.963,0.0714,-0.9601,0.2573,-0.2408,-0.3078,17.64,32.57,-28.87
-4.7077,1.5876,8.4519,-4.963,0.0714,-0.9601,0.2573,-0.2408,-0.3078,17.64,32.57,-28.87
-4.7077,1.5876,8.4519,-4.963,0.0714,-0.9601,0.2573,-0.2408,-0.3078,17.64,32.57,-28.87
-4.7077,1.5876,8.4519,-4.5018,0.4478,-1.4336,0.1295,0.0607,-0.1811,17.64,32.57,-28.87
-4.7077,1.5876,8.4519,-4.5018,0.4478,-1.4336,0.1295,0.0607,-0.1811,17.64,32.57,-28.87
-4.7963,1.9539,8.7727,-4.5018,0.4478,-1.4336,0.1295,0.0607,-0.1811,21.89,28.72,-29.58
-4.7963,1.9539,8.7727,-4.2704,0.6054,-0.7651,0.1082,-0.113,0.0746,21.89,28.72,-29.58
-4.7963,1.9539,8.7727,-4.2704,0.6054,-0.7651,0.1082,-0.113,0.0746,21.89,28.72,-29.58
-3.7968,1.8006,9.1187,-4.2704,0.6054,-0.7651,0.1082,-0.113,0.0746,19.39,29.38,-30.25
-3.7968,1.8006,9.1187,-3.1461,0.4726,-0.5883,0.1849,-0.0757,0.3398,19.39,29.38,-30.25
-3.7968,1.8006,9.1187,-3.1461,0.4726,-0.5883,0.1849,-0.0757,0.3398,19.39,29.38,-30.25
-2.9552,1.9012,9.5508,-3.1461,0.4726,-0.5883,0.1849,-0.0757,0.3398,19.39,29.38,-30.25
-2.9552,1.9012,9.5508,-2.3911,0.3922,-0.4992,0.3074,0.3983,0.4666,20.27,28.08,-30.3
-2.3554,1.4391,8.4375,-2.3911,0.3922,-0.4992,0.3074,0.3983,0.4666,20.27,28.08,-30.3
-2.3554,1.4391,8.4375,-2.3911,0.3922,-0.4992,0.3074,0.3983,0.4666,20.27,28.08,-30.3
