ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT)
-5.7313,-6.9166,31.143,-2.9497,-1.4396,23.4991,-1.6857,-0.7266,-1.5638,26.75,34.3,-3.05
-4.7125,-6.354,30.0752,-2.9497,-1.4396,23.4991,-1.6857,-0.7266,-1.5638,26.75,34.3,-3.05
-4.7125,-6.354,30.0752,-2.7114,-0.5047,21.4915,-0.1592,-1.2443,-1.3156,26.75,34.3,-3.05
-4.7125,-6.354,30.0752,-2.7114,-0.5047,21.4915,-0.1592,-1.2443,-1.3156,23.5,33.05,-0.22
-4.3845,-6.7622,27.8557,-2.7114,-0.5047,21.4915,-0.1592,-1.2443,-1.3156,23.5,33.05,-0.22
-4.3845,-6.7622,27.8557,-2.7114,-0.5047,21.4915,-0.1592,-1.2443,-1.3156,23.5,33.05,-0.22
-3.8171,-8.2335,25.592,-2.5465,-1.8824,18.2465,0.8528,-0.5828,-1.0003,23.5,33.05,-0.22
-3.8171,-8.2335,25.592,-2.5465,-1.8824,18.2465,0.8528,-0.5828,-1.0003,23.5,33.05,-0.22
-3.8171,-8.2335,25.592,-2.3605,-3.3015,14.9416,1.8733,-0.7287,-0.5401,23.36,36.92,-0.8
-3.4711,-9.0571,22.9272,-2.3605,-3.3015,14.9416,1.8733,-0.7287,-0.5401,23.36,36.92,-0.8
-3.4711,-9.0571,22.9272,-2.3605,-3.3015,14.9416,1.8733,-0.7287,-0.5401,23.36,36.92,-0.8
-3.4711,-9.0571,22.9272,-2.3605,-3.3015,14.9416,1.8733,-0.7287,-0.5401,21.71,36.91,-3.63
-3.4711,-9.0571,22.9272,-1.6517,-4.8276,9.2359,2.5551,-1.4637,-0.4325,21.71,36.91,-3.63
-2.4871,-9.8771,17.5235,-1.6517,-4.8276,9.2359,2.5551,-1.4637,-0.4325,21.71,36.91,-3.63
-2.4871,-9.8771,17.5235,-1.6517,-4.8276,9.2359,2.5551,-1.4637,-0.4325,21.71,36.91,-3.63
-2.4871,-9.8771,17.5235,-1.1607,-6.3722,5.2776,2.6606,-0.47200000000000003,-0.4644,20.07,36.9,-6.47
-1.5534,-10.8024,13.2104,-1.1607,-6.3722,5.2776,2.6606,-0.47200000000000003,-0.4644,20.07,36.9,-6.47
-1.5534,-10.8024,13.2104,-1.4649,-7.0984,1.5772,2.6606,-0.47200000000000003,-0.4644,20.07,36.9,-6.47
-1.7413,-10.5929,10.3074,-1.4649,-7.0984,1.5772,3.0526,-0.0768,-0.3654,20.07,36.9,-6.47
-1.7413,-10.5929,10.3074,-1.4649,-7.0984,1.5772,3.0526,-0.0768,-0.3654,20.2,36.8,-14.83
-1.7413,-10.5929,10.3074,-1.4649,-7.0984,1.5772,3.0526,-0.0768,-0.3654,20.2,36.8,-14.83
-1.381,-10.2973,7.8941,-1.0968,-7.6448,-2.3685,3.2944,-0.6318,-0.5294,20.2,36.8,-14.83
-1.381,-10.2973,7.8941,-1.0968,-7.6448,-2.3685,3.2944,-0.6318,-0.5294,20.2,36.8,-14.83
-1.381,-10.2973,7.8941,-1.0968,-7.6448,-2.3685,3.2944,-0.6318,-0.5294,18.63,34.82,-21.28
-2.6404,-8.4848,3.6958,-2.5445,-6.8699,-6.4503,3.0813,-0.1599,-0.9481,18.63,34.82,-21.28
-2.6404,-8.4848,3.6958,-2.5445,-6.8699,-6.4503,3.0813,-0.1599,-0.9481,18.63,34.82,-21.28
-2.6823,-6.129,1.9145,-2.5445,-6.8699,-6.4503,3.0813,-0.1599,-0.9481,18.63,34.82,-21.28
-2.6823,-6.129,1.9145,-2.4802,-5.0624,-8.5111,2.3431,0.4708,-0.8469,15.35,34.17,-24.83
-2.6823,-6.129,1.9145,-2.4802,-5.0624,-8.5111,2.3431,0.4708,-0.8469,15.35,34.17,-24.83
-1.8371,-3.7587,1.8451,-2.4802,-5.0624,-8.5111,2.3431,0.4708,-0.8469,15.35,34.17,-24.83
-1.8371,-3.7587,1.8451,-1.3884,-3.2415,-8.4596,2.3431,0.4708,-0.8469,15.35,34.17,-24.83
-1.8371,-3.7587,1.8451,-1.3884,-3.2415,-8.4596,2.0022,-0.0576,-0.8554,18.58,35.18,-18.37
-1.8491,-2.2444,1.0395,-1.3884,-3.2415,-8.4596,2.0022,-0.0576,-0.8554,18.58,35.18,-18.37
-1.8491,-2.2444,1.0395,-2.1661,-2.056,-9.6584,2.0022,-0.0576,-0.8554,18.58,35.18,-18.37
-2.7421,-0.5816,0.3356,-2.1661,-2.056,-9.6584,1.4099,-0.2738,-0.8351,18.58,35.18,-18.37
-2.7421,-0.5816,0.3356,-2.1661,-2.056,-9.6584,1.4099,-0.2738,-0.8351,15.35,33.24,-21.25
-2.7421,-0.5816,0.3356,-2.8753,-0.6137,-9.645,1.4099,-0.2738,-0.8351,15.35,33.24,-21.25
-2.8774,0.7963,0.7318,-2.8753,-0.6137,-9.645,0.8390000000000001,-0.3218,-0.4122,15.35,33.24,-21.25
-2.8774,0.7963,0.7318,-2.8753,-0.6137,-9.645,0.8390000000000001,-0.3218,-0.4122,15.35,33.24,-21.25
-2.8774,0.7963,0.7318,-2.4289,0.0836,-9.0056,0.8390000000000001,-0.3218,-0.4122,13.73,32.6,-21.97
-1.9831,1.2787,1.9026,-2.4289,0.0836,-9.0056,0.4054,-0.0949,0.0128,13.73,32.6,-21.97
-1.9831,1.2787,1.9026,-2.4289,0.0836,-9.0056,0.4054,-0.0949,0.0128,13.73,32.6,-21.97
-1.9831,1.2787,1.9026,-1.5604,-0.0014,-6.5457,0.4054,-0.0949,0.0128,13.73,32.6,-21.97
-1.4456,1.1398,3.9676,-1.5604,-0.0014,-6.5457,0.2999,-0.1055,0.098,13.75,31.94,-24.12
-1.4456,1.1398,3.9676,-1.5604,-0.0014,-6.5457,0.2999,-0.1055,0.098,13.75,31.94,-24.12
-1.4456,1.1398,3.9676,-1.1662,-0.0689,-4.7103,0.2999,-0.1055,0.098,13.75,31.94,-24.12
-1.1835,1.0956,5.4592,-1.1662,-0.0689,-4.7103,0.3276,-0.2696,0.0597,13.75,31.94,-24.12
-1.1835,1.0956,5.4592,-1.1662,-0.0689,-4.7103,0.3276,-0.2696,0.0597,13.78,31.3,-23.43
-1.6432,0.5868,6.7305,-1.7616,-0.7578,-3.2791,0.3276,-0.2696,0.0597,13.78,31.3,-23.43
-1.6432,0.5868,6.7305,-1.7616,-0.7578,-3.2791,0.6227,-0.3963,0.1087,13.78,31.3,-23.43
-1.6432,0.5868,6.7305,-1.7616,-0.7578,-3.2791,0.6227,-0.3963,0.1087,13.78,31.3,-23.43
-1.1931,0.4946,6.3163,-1.3246,-0.9644,-3.613,0.6227,-0.3963,0.1087,14.58,31.96,-21.29
-1.1931,0.4946,6.3163,-1.3246,-0.9644,-3.613,0.6227,-0.3963,0.1087,14.58,31.96,-21.29
-1.1931,0.4946,6.3163,-1.3246,-0.9644,-3.613,0.5023,-0.1758,0.0267,14.58,31.96,-21.29
-0.5239,0.9279,6.837000000000001,-1.3246,-0.9644,-3.613,0.5023,-0.1758,0.0267,14.58,31.96,-21.29
-0.5239,0.9279,6.837000000000001,-0.6942,-0.6716,-3.0847,0.5023,-0.1758,0.0267,16.3,30.0,-22.79
-0.5239,0.9279,6.837000000000001,-0.6942,-0.6716,-3.0847,0.105,0.2897,-0.0692,16.3,30.0,-22.79
-0.7765,1.9539,9.3976,-0.6942,-0.6716,-3.0847,0.105,0.2897,-0.0692,16.3,30.0,-22.79
-0.7765,1.9539,9.3976,-0.9442,0.4319,0.0947,0.105,0.2897,-0.0692,16.3,30.0,-22.79
-0.8806,2.1047,10.1159,-0.9442,0.4319,0.0947,0.26899999999999996,-0.032,-0.0309,14.65,30.01,-22.77
-0.8806,2.1047,10.1159,-0.9442,0.4319,0.0947,0.26899999999999996,-0.032,-0.0309,14.65,30.01,-22.77
-0.8806,2.1047,10.1159,-0.5874,0.4081,0.4593,0.26899999999999996,-0.032,-0.0309,14.65,30.01,-22.77
-0.3551,2.252,9.8908,-0.5874,0.4081,0.4593,0.2765,-0.0235,0.1662,14.65,30.01,-22.77
-0.3551,2.252,9.8908,-0.5874,0.4081,0.4593,0.2765,-0.0235,0.1662,15.4,31.95,-21.29
-0.3551,2.252,9.8908,-0.4865,0.4935,-0.0914,0.2765,-0.0235,0.1662,15.4,31.95,-21.29
-0.5502,2.1514,9.7364,-0.4865,0.4935,-0.0914,0.0954,0.3238,0.2344,15.4,31.95,-21.29
-0.5502,2.1514,9.7364,-0.4865,0.4935,-0.0914,0.0954,0.3238,0.2344,15.4,31.95,-21.29
-0.3898,1.8832,9.8777,-0.3502,0.0416,0.1655,0.0954,0.3238,0.2344,13.25,32.54,-27.57
-0.3898,1.8832,9.8777,-0.3502,0.0416,0.1655,0.023,0.3813,0.2418,13.25,32.54,-27.57
-0.3898,1.8832,9.8777,-0.3502,0.0416,0.1655,0.023,0.3813,0.2418,13.25,32.54,-27.57
0.4254,2.1179,7.8558,-0.3502,0.0416,0.1655,0.023,0.3813,0.2418,13.25,32.54,-27.57
0.4254,2.1179,7.8558,0.5502,0.3415,-2.0439,-0.1837,-0.0363,0.0277,14.05,33.18,-26.85
0.4254,2.1179,7.8558,0.5502,0.3415,-2.0439,-0.1837,-0.0363,0.0277,14.05,33.18,-26.85
-0.4173,1.6569999999999998,10.4906,0.5502,0.3415,-2.0439,-0.1837,-0.0363,0.0277,14.05,33.18,-26.85
-0.4173,1.6569999999999998,10.4906,-0.4708,-0.0984,1.047,0.073,0.2375,0.0916,14.05,33.18,-26.85
-0.4173,1.6569999999999998,10.4906,-0.4708,-0.0984,1.047,0.073,0.2375,0.0916,11.63,31.9,-27.58
-0.6292,1.8713,10.2823,-0.4708,-0.0984,1.047,0.073,0.2375,0.0916,11.63,31.9,-27.58
-0.6292,1.8713,10.2823,-0.2051,0.1889,0.7966,0.073,0.2375,0.0916,11.63,31.9,-27.58
-0.6292,1.8713,10.2823,-0.2051,0.1889,0.7966,0.0112,0.4218,0.2152,11.63,31.9,-27.58
-0.3467,2.1813,9.9758,-0.2051,0.1889,0.7966,0.0112,0.4218,0.2152,15.73,32.53,-25.46
-0.3467,2.1813,9.9758,-0.11699999999999999,0.1988,0.1538,0.0112,0.4218,0.2152,15.73,32.53,-25.46
-0.3467,2.1813,9.9758,-0.11699999999999999,0.1988,0.1538,-0.009000000000000001,0.1512,0.2493,15.73,32.53,-25.46
-1.0135,2.0808,9.8034,-0.11699999999999999,0.1988,0.1538,-0.009000000000000001,0.1512,0.2493,15.73,32.53,-25.46
-1.0135,2.0808,9.8034,-1.2557,0.1495,-0.1105,-0.009000000000000001,0.1512,0.2493,15.43,32.11,-27.19
