ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT)
0.6301,-0.5924,-0.5311,1.5181,-2.1304,-9.6862,-1.837,-0.244,-0.5742,31.97,17.35,-27.52
0.6301,-0.5924,-0.5311,1.5181,-2.1304,-9.6862,-1.7592,-0.4698,-0.4911,30.22,19.94,-27.42
0.6301,-0.5924,-0.5311,1.5181,-2.1304,-9.6862,-1.7592,-0.4698,-0.4911,30.22,19.94,-27.42
0.6517,-2.6478,0.1416,0.9079999999999999,-4.0082,-9.5078,-1.7592,-0.4698,-0.4911,30.22,19.94,-27.42
0.6517,-2.6478,0.1416,0.9079999999999999,-4.0082,-9.5078,-2.3089,-0.6424,-0.3813,30.22,19.94,-27.42
0.6517,-2.6478,0.1416,0.9079999999999999,-4.0082,-9.5078,-2.3089,-0.6424,-0.3813,30.13,22.54,-25.2
1.6213,-4.3608,3.4109,1.8131,-5.1732,-6.2044,-2.3089,-0.6424,-0.3813,30.13,22.54,-25.2
1.6213,-4.3608,3.4109,1.8131,-5.1732,-6.2044,-3.0056,-0.4901,-0.3196,30.13,22.54,-25.2
1.9661,-6.0308,6.2588,1.8131,-5.1732,-6.2044,-3.0056,-0.4901,-0.3196,30.13,22.54,-25.2
1.9661,-6.0308,6.2588,2.0266,-6.7328,-2.3647,-3.0056,-0.4901,-0.3196,29.99,26.44,-22.94
1.9661,-6.0308,6.2588,2.0266,-6.7328,-2.3647,-3.0056,-0.4901,-0.3196,29.99,26.44,-22.94
0.6648,-7.5966,11.7535,2.0266,-6.7328,-2.3647,-3.0812,-0.5519,-0.4005,29.99,26.44,-22.94
0.6648,-7.5966,11.7535,0.4584,-6.746,3.0619,-3.0812,-0.5519,-0.4005,29.99,26.44,-22.94
0.6648,-7.5966,11.7535,0.4584,-6.746,3.0619,-3.0812,-0.5519,-0.4005,28.27,28.4,-20.73
-0.1444,-8.0096,15.9972,0.4584,-6.746,3.0619,-2.9129,-0.7266,-0.3664,28.27,28.4,-20.73
-0.1444,-8.0096,15.9972,-0.3875,-6.2987,6.8019,-2.9129,-0.7266,-0.3664,28.27,28.4,-20.73
-0.1444,-8.0096,15.9972,-0.3875,-6.2987,6.8019,-2.9129,-0.7266,-0.3664,28.27,28.4,-20.73
0.5906,-7.5882,20.4636,-0.3875,-6.2987,6.8019,-2.7638,-0.3186,-0.3473,26.41,33.9,-15.55
0.5906,-7.5882,20.4636,0.23,-4.7694,14.4758,-2.7638,-0.3186,-0.3473,26.41,33.9,-15.55
0.5906,-7.5882,20.4636,0.23,-4.7694,14.4758,-2.7638,-0.3186,-0.3473,26.41,33.9,-15.55
-0.3419,-5.8728,26.9232,0.23,-4.7694,14.4758,-2.1566,0.0692,-0.5944,26.41,33.9,-15.55
-0.3419,-5.8728,26.9232,-1.0594,-2.1398,19.0515,-2.1566,0.0692,-0.5944,26.36,35.21,-13.37
-0.8447,-4.1286,29.558000000000003,-1.0594,-2.1398,19.0515,-2.1566,0.0692,-0.5944,26.36,35.21,-13.37
-0.8447,-4.1286,29.558000000000003,-1.0594,-2.1398,19.0515,-1.5781,0.1704,-0.6402,26.36,35.21,-13.37
-0.8447,-4.1286,29.558000000000003,-1.2281,0.5896,21.6289,-1.5781,0.1704,-0.6402,26.36,35.21,-13.37
-1.0051,-1.9463,31.5943,-1.2281,0.5896,21.6289,-1.5781,0.1704,-0.6402,26.43,23.97,-15.21
-1.0051,-1.9463,31.5943,-1.2281,0.5896,21.6289,-1.5781,0.1704,-0.6402,26.43,23.97,-15.21
-1.0051,-1.9463,31.5943,-1.0997,2.9182,22.7649,-0.597,0.1033,-0.6008,26.43,23.97,-15.21
0.2339,-0.8031,31.8911,-1.0997,2.9182,22.7649,-0.597,0.1033,-0.6008,26.43,23.97,-15.21
0.2339,-0.8031,31.8911,-1.0997,2.9182,22.7649,-0.597,0.1033,-0.6008,24.71,25.92,-15.13
0.2339,-0.8031,31.8911,0.3628,2.7858,21.2774,0.8464,-0.3505,-0.6859999999999999,24.71,25.92,-15.13
1.1544,-1.5022,30.0919,0.3628,2.7858,21.2774,0.8464,-0.3505,-0.6859999999999999,24.71,25.92,-15.13
1.1544,-1.5022,30.0919,0.3628,2.7858,21.2774,0.8464,-0.3505,-0.6859999999999999,22.22,26.55,-19.36
1.1688,-3.372,26.6921,0.3658,-0.1249,17.1588,2.3964,-0.4731,-0.7755,22.22,26.55,-19.36
1.1688,-3.372,26.6921,0.3658,-0.1249,17.1588,2.3964,-0.4731,-0.7755,22.22,26.55,-19.36
1.1688,-3.372,26.6921,0.3658,-0.1249,17.1588,2.3964,-0.4731,-0.7755,22.22,26.55,-19.36
0.5715,-4.7451,20.7449,-0.4097,-2.3963,10.8387,2.3964,-0.4731,-0.7755,22.22,26.55,-19.36
0.5715,-4.7451,20.7449,-0.4097,-2.3963,10.8387,3.1761,-0.2334,-0.8469,20.59,25.9,-22.21
0.5715,-4.7451,20.7449,-0.4097,-2.3963,10.8387,3.1761,-0.2334,-0.8469,20.59,25.9,-22.21
0.095,-5.6178,16.9453,-0.9819,-4.4746,5.9749,3.1761,-0.2334,-0.8469,20.59,25.9,-22.21
0.095,-5.6178,16.9453,-0.9819,-4.4746,5.9749,3.5,0.2705,-0.8394,20.59,25.9,-22.21
-0.3108,-6.609,11.7547,-0.9819,-4.4746,5.9749,3.5,0.2705,-0.8394,21.49,23.92,-26.55
-0.3108,-6.609,11.7547,-1.2928,-6.596,0.5889,3.5,0.2705,-0.8394,21.49,23.92,-26.55
-0.3108,-6.609,11.7547,-1.2928,-6.596,0.5889,3.5458,0.8095,-0.7063,21.49,23.92,-26.55
-0.6208,-6.8436,7.4619,-1.2928,-6.596,0.5889,3.5458,0.8095,-0.7063,20.81,20.02,-30.22
-0.6208,-6.8436,7.4619,-1.4012,-7.6841,-3.8169,3.5458,0.8095,-0.7063,20.81,20.02,-30.22
-0.6208,-6.8436,7.4619,-1.4012,-7.6841,-3.8169,3.3935,1.1387,-0.5358,20.81,20.02,-30.22
-0.6208,-6.8436,7.4619,-1.4012,-7.6841,-3.8169,3.3935,1.1387,-0.5358,20.81,20.02,-30.22
-0.9189,-6.506,4.4799,-1.192,-8.0103,-6.3583,3.3935,1.1387,-0.5358,22.32,19.97,-31.69
-0.9189,-6.506,4.4799,-1.192,-8.0103,-6.3583,3.1453,1.0769,-0.4208,22.32,19.97,-31.69
-0.9189,-6.506,4.4799,-1.192,-8.0103,-6.3583,3.1453,1.0769,-0.4208,22.32,19.97,-31.69
-0.0822,-4.2974,0.5882,0.0554,-7.0171,-9.5209,3.1453,1.0769,-0.4208,22.32,19.97,-31.69
-0.0822,-4.2974,0.5882,0.0554,-7.0171,-9.5209,2.8257,0.6242,-0.3387,22.32,19.97,-31.69
0.4146,-2.5089,-1.587,0.0554,-7.0171,-9.5209,2.8257,0.6242,-0.3387,21.66,15.43,-34.68
0.4146,-2.5089,-1.587,0.8115,-5.8076,-11.5334,2.8257,0.6242,-0.3387,21.66,15.43,-34.68
0.4146,-2.5089,-1.587,0.8115,-5.8076,-11.5334,2.2313,0.0489,-0.3302,21.66,15.43,-34.68
1.194,-0.9802,-3.1001,0.8115,-5.8076,-11.5334,2.2313,0.0489,-0.3302,26.06,22.32,-20.17
1.194,-0.9802,-3.1001,1.6172,-4.7552,-12.6197,2.2313,0.0489,-0.3302,26.06,22.32,-20.17
1.194,-0.9802,-3.1001,1.6172,-4.7552,-12.6197,1.4249,-0.1428,-0.2897,26.06,22.32,-20.17
1.3831,0.2492,-3.6161,1.6172,-4.7552,-12.6197,1.4249,-0.1428,-0.2897,26.06,22.32,-20.17
1.3831,0.2492,-3.6161,1.5211,-3.8493,-12.741,1.4249,-0.1428,-0.2897,24.46,21.04,-20.2
1.3831,0.2492,-3.6161,1.5211,-3.8493,-12.741,0.7037,-0.1023,-0.1363,24.46,21.04,-20.2
1.0359,1.0261,-3.7106,1.5211,-3.8493,-12.741,0.7037,-0.1023,-0.1363,24.46,21.04,-20.2
1.0359,1.0261,-3.7106,1.5211,-3.8493,-12.741,0.7037,-0.1023,-0.1363,24.46,21.04,-20.2
0.9964,1.1722,-3.5359,1.1973,-3.3578,-12.6016,0.0677,0.0915,-0.0383,25.28,21.02,-21.63
0.9964,1.1722,-3.5359,1.1973,-3.3578,-12.6016,0.0677,0.0915,-0.0383,25.28,21.02,-21.63
0.9964,1.1722,-3.5359,1.1973,-3.3578,-12.6016,0.0677,0.0915,-0.0383,25.28,21.02,-21.63
0.7858,0.7364,-3.0654,1.2493,-3.5583,-11.9598,-0.4394,0.18100000000000002,-0.0873,25.28,21.02,-21.63
0.7858,0.7364,-3.0654,1.2493,-3.5583,-11.9598,-0.4394,0.18100000000000002,-0.0873,25.28,21.02,-21.63
0.7858,0.7364,-3.0654,1.2493,-3.5583,-11.9598,-0.4394,0.18100000000000002,-0.0873,26.08,21.66,-21.62
0.3356,0.3665,-2.5686,0.7633,-3.8805,-11.4404,-1.0316,0.0074,-0.2439,26.08,21.66,-21.62
0.3356,0.3665,-2.5686,0.7633,-3.8805,-11.4404,-1.0316,0.0074,-0.2439,26.08,21.66,-21.62
0.3356,0.3665,-2.5686,0.7633,-3.8805,-11.4404,-1.0316,0.0074,-0.2439,26.08,21.66,-21.62
0.2363,-0.6163,-1.4972,0.639,-4.4264,-10.2425,-1.8466,-0.1716,-0.3132,25.23,22.33,-19.46
0.2363,-0.6163,-1.4972,0.639,-4.4264,-10.2425,-1.8466,-0.1716,-0.3132,25.23,22.33,-19.46
1.0168,-1.3429,1.0251,0.639,-4.4264,-10.2425,-1.8466,-0.1716,-0.3132,25.23,22.33,-19.46
1.0168,-1.3429,1.0251,1.4196,-4.5718,-7.7827,-2.8532,-0.1226,-0.3792,25.23,22.33,-19.46
1.0168,-1.3429,1.0251,1.4196,-4.5718,-7.7827,-2.8532,-0.1226,-0.3792,23.44,26.22,-19.32
0.8372,-2.3916,3.0949,1.4196,-4.5718,-7.7827,-2.8532,-0.1226,-0.3792,23.44,26.22,-19.32
0.8372,-2.3916,3.0949,1.205,-4.9966,-5.2249,-2.8532,-0.1226,-0.3792,23.44,26.22,-19.32
0.8372,-2.3916,3.0949,1.205,-4.9966,-5.2249,-3.4849,-0.2216,-0.4453,20.13,33.66,-17.19
0.496,-3.2428,7.6475,1.205,-4.9966,-5.2249,-3.4849,-0.2216,-0.4453,20.13,33.66,-17.19
0.496,-3.2428,7.6475,0.2927,-4.485,-0.11800000000000001,-3.4849,-0.2216,-0.4453,20.13,33.66,-17.19
0.496,-3.2428,7.6475,0.2927,-4.485,-0.11800000000000001,-3.5936,-0.0778,-0.3867,20.13,33.66,-17.19
-1.3869999999999998,-3.5528,12.6489,0.2927,-4.485,-0.11800000000000001,-3.5936,-0.0778,-0.3867,20.86,36.28,-11.42
-1.3869999999999998,-3.5528,12.6489,-1.2242,-4.048,4.8867,-3.5936,-0.0778,-0.3867,20.86,36.28,-11.42
-1.3869999999999998,-3.5528,12.6489,-1.2242,-4.048,4.8867,-2.8489999999999998,-0.1545,-0.0405,20.86,36.28,-11.42
-1.4576,-3.9969,16.3121,-1.2242,-4.048,4.8867,-2.8489999999999998,-0.1545,-0.0405,20.86,36.28,-11.42
-1.4576,-3.9969,16.3121,-0.7798,-3.6492,8.133,-2.8489999999999998,-0.1545,-0.0405,19.4,30.53,-21.84
-0.5885,-4.1573,19.2246,-0.7798,-3.6492,8.133,-2.115,-0.0821,-0.0788,19.4,30.53,-21.84
-0.5885,-4.1573,19.2246,-0.7798,-3.6492,8.133,-2.115,-0.0821,-0.0788,19.4,30.53,-21.84
-0.5885,-4.1573,19.2246,-0.5402,-2.7671,11.2493,-2.115,-0.0821,-0.0788,19.4,30.53,-21.84
-0.9117,-4.0424,21.2381,-0.5402,-2.7671,11.2493,-1.9606,0.2439,-0.5411,20.11,33.77,-18.9
-0.9117,-4.0424,21.2381,-0.5402,-2.7671,11.2493,-1.9606,0.2439,-0.5411,20.11,33.77,-18.9
-0.9117,-4.0424,21.2381,-1.3255,-1.1635,12.9209,-1.9606,0.2439,-0.5411,20.11,33.77,-18.9
-1.9041,-2.7112,23.0039,-1.3255,-1.1635,12.9209,-2.0607,0.7978,-0.8852,20.11,33.77,-18.9
-1.9041,-2.7112,23.0039,-1.3255,-1.1635,12.9209,-2.0607,0.7978,-0.8852,20.11,33.77,-18.9
-2.1136,-1.5058,25.3813,-1.6068,0.8292,15.704,-2.0607,0.7978,-0.8852,17.59,35.11,-14.57
-2.1136,-1.5058,25.3813,-1.6068,0.8292,15.704,-1.3555,0.621,-0.7094,17.59,35.11,-14.57
-2.1136,-1.5058,25.3813,-1.6068,0.8292,15.704,-1.3555,0.621,-0.7094,17.59,35.11,-14.57
-1.0817,-0.5972,26.2372,-0.4176,2.1684,16.6096,-1.3555,0.621,-0.7094,16.74,35.77,-13.83
-1.0817,-0.5972,26.2372,-0.4176,2.1684,16.6096,-0.3232,0.1192,-0.3537,16.74,35.77,-13.83
-1.0817,-0.5972,26.2372,-0.4176,2.1684,16.6096,-0.3232,0.1192,-0.3537,16.74,35.77,-13.83
-0.1205,0.2803,24.3638,0.537,2.8827,14.2877,-0.3232,0.1192,-0.3537,16.74,35.77,-13.83
-0.1205,0.2803,24.3638,0.537,2.8827,14.2877,-0.3232,0.1192,-0.3537,16.74,35.77,-13.83
-0.8375,-0.5876,22.1001,0.537,2.8827,14.2877,0.4363,0.0287,-0.212,17.54,36.41,-13.1
-0.8375,-0.5876,22.1001,-0.6025,1.4797,12.0596,0.4363,0.0287,-0.212,17.54,36.41,-13.1
-0.8375,-0.5876,22.1001,-0.6025,1.4797,12.0596,0.4363,0.0287,-0.212,17.54,36.41,-13.1
-1.6875,-2.2969999999999997,21.0765,-0.6025,1.4797,12.0596,1.2661,-0.3069,-0.1427,17.54,36.41,-13.1
-1.6875,-2.2969999999999997,21.0765,-1.4299,-0.5592,10.5742,1.2661,-0.3069,-0.1427,15.99,33.83,-13.89
-1.6875,-2.2969999999999997,21.0765,-1.4299,-0.5592,10.5742,1.2661,-0.3069,-0.1427,15.99,33.83,-13.89
-2.3519,-3.4487,19.3575,-1.4299,-0.5592,10.5742,1.9554,-0.4826,-0.1086,15.99,33.83,-13.89
-2.3519,-3.4487,19.3575,-1.9182,-1.8737,8.9223,1.9554,-0.4826,-0.1086,14.37,33.17,-17.45
-2.3519,-3.4487,19.3575,-1.9182,-1.8737,8.9223,1.9554,-0.4826,-0.1086,14.37,33.17,-17.45
-2.14,-3.6857,17.8527,-1.9182,-1.8737,8.9223,1.9554,-0.4826,-0.1086,14.37,33.17,-17.45
-2.14,-3.6857,17.8527,-1.9182,-1.8737,8.9223,2.3634,-0.1684,-0.2663,14.37,33.17,-17.45
-2.14,-3.6857,17.8527,-1.9833,-2.8063,6.1803,2.3634,-0.1684,-0.2663,14.37,33.17,-17.45
-2.6260000000000003,-3.9143,14.3105,-1.9833,-2.8063,6.1803,2.3634,-0.1684,-0.2663,16.51,27.95,-19.34
-2.6260000000000003,-3.9143,14.3105,-1.9833,-2.8063,6.1803,2.2632,0.2716,-0.2205,16.51,27.95,-19.34
-2.7325,-3.6534,10.3637,-2.4915,-3.4333,1.3825,2.2632,0.2716,-0.2205,16.51,27.95,-19.34
-2.7325,-3.6534,10.3637,-2.4915,-3.4333,1.3825,2.2632,0.2716,-0.2205,16.51,27.95,-19.34
-2.7325,-3.6534,10.3637,-2.263,-3.5562,-1.8488,1.9937,0.1246,-0.1449,15.86,29.37,-22.52
-2.7218,-3.135,8.0976,-2.263,-3.5562,-1.8488,1.9937,0.1246,-0.1449,15.86,29.37,-22.52
-2.7218,-3.135,8.0976,-2.263,-3.5562,-1.8488,1.9937,0.1246,-0.1449,15.86,29.37,-22.52
-2.2441,-2.7938,5.5202,-2.263,-3.5562,-1.8488,1.9937,0.1246,-0.1449,14.14,31.28,-28.85
-2.2441,-2.7938,5.5202,-1.8964,-3.792,-4.4683,1.9138,-0.3452,-0.2162,14.14,31.28,-28.85
-2.2441,-2.7938,5.5202,-1.8964,-3.792,-4.4683,1.9138,-0.3452,-0.2162,14.14,31.28,-28.85
-1.9029,-1.8481,3.642,-1.8964,-3.792,-4.4683,1.9138,-0.3452,-0.2162,14.14,31.28,-28.85
-1.9029,-1.8481,3.642,-1.5361,-3.2721,-6.6319,1.5687,-0.3495,-0.3579,14.14,31.28,-28.85
-1.9029,-1.8481,3.642,-1.5361,-3.2721,-6.6319,1.5687,-0.3495,-0.3579,14.23,28.68,-31.07
-2.1579,-1.1562,2.7405,-1.5361,-3.2721,-6.6319,1.5687,-0.3495,-0.3579,14.23,28.68,-31.07
