ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT)
4.7601,-3.4319,6.1547,5.9879999999999995,-3.0607,-5.2361,-1.9861,-0.0693,-1.3838,31.09,23.37,-21.77
4.7601,-3.4319,6.1547,5.4152,-4.0112,-3.3751,-1.9861,-0.0693,-1.3838,31.09,23.37,-21.77
4.7601,-3.4319,6.1547,5.4152,-4.0112,-3.3751,-2.0362,-0.8203,-1.9153,31.09,23.37,-21.77
2.3288,-4.9678,7.5768,5.4152,-4.0112,-3.3751,-2.0362,-0.8203,-1.9153,26.83,27.3,-18.05
2.3288,-4.9678,7.5768,2.401,-5.0303,-1.4515,-2.0362,-0.8203,-1.9153,26.83,27.3,-18.05
2.3288,-4.9678,7.5768,2.401,-5.0303,-1.4515,-2.0362,-0.8203,-1.9153,26.83,27.3,-18.05
0.3787,-5.5208,10.3326,2.401,-5.0303,-1.4515,-2.6029,-1.0366,-1.9004,26.83,27.3,-18.05
0.3787,-5.5208,10.3326,-0.3579,-4.8701,3.0134,-2.6029,-1.0366,-1.9004,26.83,27.3,-18.05
0.3787,-5.5208,10.3326,-0.3579,-4.8701,3.0134,-2.6029,-1.0366,-1.9004,25.86,31.18,-18.63
-1.6827,-7.4637,17.9689,-0.3579,-4.8701,3.0134,-3.2346,-0.6648,-1.8077,25.86,31.18,-18.63
-1.6827,-7.4637,17.9689,-2.4524,-6.564,10.9042,-3.2346,-0.6648,-1.8077,25.86,31.18,-18.63
-4.2469,-8.6357,24.8558,-2.4524,-6.564,10.9042,-3.2346,-0.6648,-1.8077,22.38,36.41,-12.75
-4.2469,-8.6357,24.8558,-2.4524,-6.564,10.9042,-2.9129,-0.6254,-1.5308,22.38,36.41,-12.75
-4.2469,-8.6357,24.8558,-5.2997,-5.245,17.9738,-2.9129,-0.6254,-1.5308,22.38,36.41,-12.75
-5.0489,-7.4326,29.5017,-5.2997,-5.245,17.9738,-2.9129,-0.6254,-1.5308,22.38,36.41,-12.75
-5.0489,-7.4326,29.5017,-5.2997,-5.245,17.9738,-2.9129,-0.6254,-1.5308,22.38,36.41,-12.75
-5.0489,-7.4326,29.5017,-5.2214,-3.7382,22.2584,-1.5515,-0.2866,-0.833,19.69,39.14,-11.16
-4.0529,-6.5862,32.4753,-5.2214,-3.7382,22.2584,-1.5515,-0.2866,-0.833,19.69,39.14,-11.16
-4.0529,-6.5862,32.4753,-5.2214,-3.7382,22.2584,-1.5515,-0.2866,-0.833,19.69,39.14,-11.16
-2.8726,-4.708,30.9538,-3.9166,-1.8899,22.2998,0.6451,-0.0832,-0.3355,15.06,35.09,-13.4
-2.8726,-4.708,30.9538,-3.9166,-1.8899,22.2998,0.6451,-0.0832,-0.3355,15.06,35.09,-13.4
-2.8726,-4.708,30.9538,-3.9166,-1.8899,22.2998,0.6451,-0.0832,-0.3355,15.06,35.09,-13.4
0.7654,-3.8808,24.839000000000002,-3.9166,-1.8899,22.2998,2.5125,-0.3505,-0.3291,15.06,35.09,-13.4
0.7654,-3.8808,24.839000000000002,0.5631,-1.2990000000000002,14.2789,2.5125,-0.3505,-0.3291,15.09,34.42,-16.26
0.7654,-3.8808,24.839000000000002,0.5631,-1.2990000000000002,14.2789,2.5125,-0.3505,-0.3291,15.09,34.42,-16.26
3.0567,-3.7372,22.8626,0.5631,-1.2990000000000002,14.2789,2.5125,-0.3505,-0.3291,15.09,34.42,-16.26
3.0567,-3.7372,22.8626,2.4687,-1.7989,12.5025,3.2827,0.034,-0.5529,15.09,34.42,-16.26
4.7625,-3.7969999999999997,20.381,2.4687,-1.7989,12.5025,3.2827,0.034,-0.5529,13.51,32.45,-22.0
4.7625,-3.7969999999999997,20.381,2.4687,-1.7989,12.5025,3.2827,0.034,-0.5529,13.51,32.45,-22.0
4.7625,-3.7969999999999997,20.381,4.4392,-3.4458,8.4498,4.4214,0.3248,-0.9555,13.51,32.45,-22.0
5.6771,-4.0891,16.0595,4.4392,-3.4458,8.4498,4.4214,0.3248,-0.9555,13.51,32.45,-22.0
5.6771,-4.0891,16.0595,4.4392,-3.4458,8.4498,4.4214,0.3248,-0.9555,11.13,29.85,-27.05
5.6771,-4.0891,16.0595,4.8571,-5.1496,3.0196,5.181,0.1107,-1.6533,11.13,29.85,-27.05
4.9026,-4.0831,10.1961,4.8571,-5.1496,3.0196,5.181,0.1107,-1.6533,11.13,29.85,-27.05
4.9026,-4.0831,10.1961,4.8571,-5.1496,3.0196,5.181,0.1107,-1.6533,11.13,29.85,-27.05
4.9026,-4.0831,10.1961,3.1474,-6.4666,-2.4269,5.1586,0.1842,-2.3404,8.92,22.71,-33.66
2.7514,-3.5181,5.5442,3.1474,-6.4666,-2.4269,5.1586,0.1842,-2.3404,8.92,22.71,-33.66
